plu_classification_id,grounded_statement_id,notice_id,opportunity_title,source_file,plu_id,context_family,context_type,canonical_object,downstream_route,matched_patterns,candidate_count,classification_score,confidence,reasoning_basis,match_type,classification_status,source_statement,created_at
RPLUC-000054,GSTMT-000219,3164fcc003e84650b53a7bdb56485b05,"USAG DHR, Fort Bragg ID Card Services",3164fcc003e84650b53a7bdb56485b05_1.bin,PLU-TECH-004,Technical,Product Requirement,Product Requirement,Product Intelligence,\bmaterials?\b;\bequipment\b;shall provide;item,1,122,0.94,Product/material requirement bundle,bundle,reasoned_classified,"The Contractor shall provide all personnel, equipment, supplies, facilities, transportation, tools, materials, supervision, and other items and non-personal services necessary to perform the verification and issuance of military identification (USID) and CAC cards for active duty military, Reserve and National Guard members, military retirees, family members, Department of Defense (DoD) civilians and other eligible recipients, as defined in this PWS, except for those items specified as government furnished property and services.",2026-06-25 06:10:29
RPLUC-000055,GSTMT-000235,09ce44adca35468fb46ab77206c9afb7,6515--NetApp,09ce44adca35468fb46ab77206c9afb7_2.bin,PLU-COM-001,Commercial,Pricing Structure,Pricing Structure,Pricing Intelligence,\bclin\b;quantity,1,123,0.94,Pricing schedule bundle,bundle,reasoned_classified,GENERAL INFORMATION PLACE OF PERFORMANCE ADDITIONAL INFORMATION DESCRIPTION Amendment to change quantity on Clin #15 from 48 to 64 Amendment to include RFQ answers Question 1 -0015 (UCS-DDR5-BLK):,2026-06-25 06:10:29
RPLUC-000056,GSTMT-000237,09ce44adca35468fb46ab77206c9afb7,6515--NetApp,09ce44adca35468fb46ab77206c9afb7_2.bin,PLU-COM-001,Commercial,Pricing Structure,Pricing Structure,Pricing Intelligence,price/cost schedule;quantity,1,123,0.94,Pricing schedule bundle,bundle,reasoned_classified,"Section B.3 (Price/Cost Schedule, page 8) lists a quantity of 48 units for the same item.",2026-06-25 06:10:29
RPLUC-000057,GSTMT-000238,09ce44adca35468fb46ab77206c9afb7,6515--NetApp,09ce44adca35468fb46ab77206c9afb7_2.bin,PLU-COM-001,Commercial,Pricing Structure,Pricing Structure,Pricing Intelligence,price/cost schedule;quantity,1,123,0.94,Pricing schedule bundle,bundle,reasoned_classified,Please confirm which quantity governs for quoting and contract performance—64 per the SOW or 48 per the Price/Cost Schedule—and issue an amendment or written clarification before the offer due date.,2026-06-25 06:10:29
RPLUC-000058,GSTMT-000240,09ce44adca35468fb46ab77206c9afb7,6515--NetApp,09ce44adca35468fb46ab77206c9afb7_2.bin,PLU-COM-001,Commercial,Pricing Structure,Pricing Structure,Pricing Intelligence,line item,1,118,0.94,Pricing schedule bundle,bundle,reasoned_classified,"Subscription Pricing Structure Line item 0003, DC-MGT-IS-SAAS-ES (Infrastructure Services SaaS/CVA – Essentials), is a Cisco subscription-based product priced on an annual term basis rather than as a one-time purchase.",2026-06-25 06:10:29
RPLUC-000059,GSTMT-000242,09ce44adca35468fb46ab77206c9afb7,6515--NetApp,09ce44adca35468fb46ab77206c9afb7_2.bin,PLU-COM-001,Commercial,Pricing Structure,Pricing Structure,Pricing Intelligence,line item,1,118,0.94,Pricing schedule bundle,bundle,reasoned_classified,Please confirm the intended contract duration for this subscription line item so all offerors may price it accurately and consistently.,2026-06-25 06:10:29
RPLUC-000060,GSTMT-000243,09ce44adca35468fb46ab77206c9afb7,6515--NetApp,09ce44adca35468fb46ab77206c9afb7_2.bin,PLU-PROP-003,Proposal,Submission Instruction,Submission Instruction,Proposal Intelligence,offerors.*submit,2,102,0.82,single_rule,single,reasoned_classified,Question 3 — OEM Authorization Letter Requirements Section E.2.5 requires offerors to submit an OEM authorization letter dated no more than 90 days,2026-06-25 06:10:29
RPLUC-000061,GSTMT-000245,09ce44adca35468fb46ab77206c9afb7,6515--NetApp,09ce44adca35468fb46ab77206c9afb7_4.bin,PLU-ADM-006,Delivery and Administration,Contract Administration,Contract Administration,Contract Administration,contract administration,2,96,0.82,single_rule,single,reasoned_classified,GENERAL INFORMATION PLACE OF PERFORMANCE ADDITIONAL INFORMATION DESCRIPTION SECTION B - CONTINUATION OF SF 1449 BLOCKS B.1 CONTRACT ADMINISTRATION DATA 1.,2026-06-25 06:10:29
RPLUC-000062,GSTMT-000247,09ce44adca35468fb46ab77206c9afb7,6515--NetApp,09ce44adca35468fb46ab77206c9afb7_4.bin,PLU-ADM-006,Delivery and Administration,Contract Administration,Contract Administration,Contract Administration,contract administration,1,96,0.82,single_rule,single,reasoned_classified,All contract administration matters will be handled by the following individuals:,2026-06-25 06:10:29
RPLUC-000063,GSTMT-000250,09ce44adca35468fb46ab77206c9afb7,6515--NetApp,09ce44adca35468fb46ab77206c9afb7_4.bin,PLU-PROP-006,Proposal,Amendment Acknowledgement,Amendment Acknowledgement,Proposal Compliance,acknowledge.*amendment,1,102,0.82,single_rule,single,reasoned_classified,The offeror acknowledges receipt of amendments to the Solicitation numbered and dated as follows:,2026-06-25 06:10:29
RPLUC-000064,GSTMT-000271,f33e54c1c9644aa8bb2eb283b82a85ad,31 CES n. 25 military gear lockers.,f33e54c1c9644aa8bb2eb283b82a85ad_5.bin,PLU-META-001,Metadata and Structure,Attachment,Attachment,Document Structure Intelligence,attachment,1,88,0.82,single_rule,single,reasoned_classified,"Looking at the questions and answers loaded toady, Please also advise that as per the Salient+Characteristics attachment The units will be a minimum 42” wide, 24” deep and 78” tall, are other dimensions also acceptable?",2026-06-25 06:10:29
RPLUC-000065,GSTMT-000284,f29a122869e64fa19982e9655482f397,Hex Jam Nuts,f29a122869e64fa19982e9655482f397_1.bin,PLU-ADM-006,Delivery and Administration,Contract Administration,Contract Administration,Contract Administration,contracting officer,1,96,0.82,single_rule,single,reasoned_classified,"The specifications and documents shall not be copied, and unless otherwise permitted by the Contracting Officer, shall be returned in their entirety to the Portsmouth Naval Shipyard upon completion of the contract.",2026-06-25 06:10:29
RPLUC-000066,GSTMT-000294,f29a122869e64fa19982e9655482f397,Hex Jam Nuts,f29a122869e64fa19982e9655482f397_3.bin,PLU-SUP-008,Supplier Qualification,Registration,Registration,Eligibility Intelligence,\bsam\b,2,114,0.94,Registration bundle,bundle,reasoned_classified,"FAR CLAUSES 52.204-26 Covered Telecommunications Equipment Or Services-Representation (OCT 2020) {if available in SAM reps and certs, duplication may not be required} (a) Definitions.",2026-06-25 06:10:29
RPLUC-000067,GSTMT-000295,f29a122869e64fa19982e9655482f397,Hex Jam Nuts,f29a122869e64fa19982e9655482f397_3.bin,PLU-TECH-004,Technical,Product Requirement,Product Requirement,Product Intelligence,\bequipment\b,1,106,0.94,Product/material requirement bundle,bundle,reasoned_classified,"As used in this provision, ""covered telecommunications equipment or services"" and ""reasonable inquiry"" have the meaning provided in the clause 52.204-25, Prohibition on Contracting for Certain Telecommunications and Video Surveillance Services or Equipment.",2026-06-25 06:10:29
RPLUC-000068,GSTMT-000296,f29a122869e64fa19982e9655482f397,Hex Jam Nuts,f29a122869e64fa19982e9655482f397_3.bin,PLU-SUP-008,Supplier Qualification,Registration,Registration,Eligibility Intelligence,\bsam\b;system for award management;offeror;award,2,130,0.94,Registration bundle,bundle,reasoned_classified,"The Offeror shall review the list of excluded parties in the System for Award Management (SAM) (https://www.sam.gov) for entities excluded from receiving federal awards for ""covered telecommunications equipment or services"".",2026-06-25 06:10:29
RPLUC-000069,GSTMT-000297,f29a122869e64fa19982e9655482f397,Hex Jam Nuts,f29a122869e64fa19982e9655482f397_3.bin,PLU-TECH-004,Technical,Product Requirement,Product Requirement,Product Intelligence,\bequipment\b,1,106,0.94,Product/material requirement bundle,bundle,reasoned_classified,"The Offeror represents that it [__] does, [__] does not provide covered telecommunications equipment or services as a part of its offered products or services to the Government in the performance of any contract, subcontract, or other contractual instrument.",2026-06-25 06:10:29
RPLUC-000070,GSTMT-000298,f29a122869e64fa19982e9655482f397,Hex Jam Nuts,f29a122869e64fa19982e9655482f397_3.bin,PLU-TECH-004,Technical,Product Requirement,Product Requirement,Product Intelligence,\bequipment\b,1,106,0.94,Product/material requirement bundle,bundle,reasoned_classified,"(End of provision) 52.204-24 REPRESENTATION REGARDING CERTAIN TELECOMMUNICATIONS AND VIDEO SURVEILLANCE SERVICES OR EQUIPMENT (NOV 2021) {MUST BE FILLED IN, if “does” in 52.204-26} The Offeror shall not complete the representation at paragraph (d)(",2026-06-25 06:10:29
RPLUC-000071,GSTMT-000301,dedd02b3424a4149b2823ccee9a76082,Patient Ceiling Lift Slings Replacement,dedd02b3424a4149b2823ccee9a76082_1.bin,PLU-PROP-003,Proposal,Submission Instruction,Submission Instruction,Proposal Intelligence,responses.*shall include,1,102,0.82,single_rule,single,reasoned_classified,Unrestricted – no set-aside Responses to this notice shall include the following:,2026-06-25 06:10:29
RPLUC-000072,GSTMT-000302,dedd02b3424a4149b2823ccee9a76082,Patient Ceiling Lift Slings Replacement,dedd02b3424a4149b2823ccee9a76082_1.bin,PLU-SUP-008,Supplier Qualification,Registration,Registration,Eligibility Intelligence,\bsam\b;\buei\b;cage code;tax id,4,126,0.89,Registration bundle,bundle,reasoned_classified,"(a) company name b) address (c) socio-economic status, (d) point of contact (e) phone, fax, and email (f) SAM UEI number (g) Cage Code (h) Tax ID Number (i) and must provide a capability statement that addresses the organizations qualifications and ability to perform as a contractor and provide the commodities described below.",2026-06-25 06:10:29
RPLUC-000073,GSTMT-000305,dd067ed7e23d469dab6e5a622c30460b,Marketplace for Acquisition of Professional Services (MAPS),dd067ed7e23d469dab6e5a622c30460b_2.bin,PLU-META-004,Metadata and Structure,Table of Contents,Table of Contents,Document Structure Intelligence,table of contents,3,94,0.82,single_rule,single,reasoned_classified,"TABLE OF CONTENTS (X) SECTION DESCRIPTION PAGE(S) (X) SECTION DESCRIPTION PAGE(S) PART I - THE SCHEDULE PART II - CONTRACT CLAUSES A SOLICITATION/CONTRACT FORM I CONTRACT CLAUSES B SUPPLIES OR SERVICES AND PRICES/COSTS PART III - LIST OF DOCUMENTS, EXHIBITS AND OTHER ATTACHMENTS C DESCRIPTION/SPECIFICATIONS/WORK STATEMENT J LIST OF ATTACHMENTS D PACKAGING AND MARKING PART IV - REPRESENTATIONS AND INSTRUCTIONS E INSPECTION AN",2026-06-25 06:10:29
RPLUC-000074,GSTMT-000319,dd067ed7e23d469dab6e5a622c30460b,Marketplace for Acquisition of Professional Services (MAPS),dd067ed7e23d469dab6e5a622c30460b_10.bin,PLU-META-001,Metadata and Structure,Attachment,Attachment,Document Structure Intelligence,attachment,1,88,0.82,single_rule,single,reasoned_classified,"Summary of Changes – Amendment 09 – Sections L & M and Attachment 0002 Scorecard Section L – Instructions to Offerors • L.2.3.3 QP Submission Vacancy Rate, Time to Fill Rate, Schedule and Completeness:",2026-06-25 06:10:29
RPLUC-000075,GSTMT-000321,dd067ed7e23d469dab6e5a622c30460b,Marketplace for Acquisition of Professional Services (MAPS),dd067ed7e23d469dab6e5a622c30460b_10.bin,PLU-EVAL-002,Evaluation,Evaluation Navigation,Evaluation Navigation,Document Navigation,section m;evaluation factors;evaluation approach;factor,1,141,0.94,Evaluation navigation bundle,bundle,reasoned_classified,Section M – Evaluation Factors • M.2 Evaluation Approach:,2026-06-25 06:10:29
RPLUC-000076,GSTMT-000322,dd067ed7e23d469dab6e5a622c30460b,Marketplace for Acquisition of Professional Services (MAPS),dd067ed7e23d469dab6e5a622c30460b_10.bin,PLU-META-001,Metadata and Structure,Attachment,Attachment,Document Structure Intelligence,attachment,1,88,0.82,single_rule,single,reasoned_classified,Attachment 0002 • Commercial Sector Vendor Scorecard Amendment 0004:,2026-06-25 06:10:29
RPLUC-000077,GSTMT-000323,dd067ed7e23d469dab6e5a622c30460b,Marketplace for Acquisition of Professional Services (MAPS),dd067ed7e23d469dab6e5a622c30460b_10.bin,PLU-COMP-006,Legal and Compliance,Socioeconomic Requirement,Socioeconomic Requirement,Eligibility Intelligence,small business,1,99,0.82,single_rule,single,reasoned_classified,• Large and Small Business Scorecard Amendment 0006:,2026-06-25 06:10:29
RPLUC-000078,GSTMT-000339,dd067ed7e23d469dab6e5a622c30460b,Marketplace for Acquisition of Professional Services (MAPS),dd067ed7e23d469dab6e5a622c30460b_18.bin,PLU-PROP-003,Proposal,Submission Instruction,Submission Instruction,Proposal Intelligence,offerors.*submit,1,102,0.82,single_rule,single,reasoned_classified,IF NEEDED OFFERORS CAN HAVE ONE (1) ALTERNATE PERSON REGISTER IN THE CASE OF AN EMERGENCY.*** In order to submit a proposal for the MAPS acquisition all Offerors shall register through the following link to create their profiles.,2026-06-25 06:10:29
RPLUC-000079,GSTMT-000346,dd067ed7e23d469dab6e5a622c30460b,Marketplace for Acquisition of Professional Services (MAPS),dd067ed7e23d469dab6e5a622c30460b_19.bin,PLU-META-001,Metadata and Structure,Attachment,Attachment,Document Structure Intelligence,attachment,1,88,0.82,single_rule,single,reasoned_classified,Cover Letter Form Attachment 0001 Amendment 02 Prime Company Name:,2026-06-25 06:10:29
RPLUC-000080,GSTMT-000347,dd067ed7e23d469dab6e5a622c30460b,Marketplace for Acquisition of Professional Services (MAPS),dd067ed7e23d469dab6e5a622c30460b_19.bin,PLU-ADM-006,Delivery and Administration,Contract Administration,Contract Administration,Contract Administration,point of contact,1,96,0.82,single_rule,single,reasoned_classified,"Point of Contact for Proposal (name, email, phone):",2026-06-25 06:10:29
RPLUC-000081,GSTMT-000348,dd067ed7e23d469dab6e5a622c30460b,Marketplace for Acquisition of Professional Services (MAPS),dd067ed7e23d469dab6e5a622c30460b_19.bin,PLU-COMP-006,Legal and Compliance,Socioeconomic Requirement,Socioeconomic Requirement,Eligibility Intelligence,small business,1,99,0.82,single_rule,single,reasoned_classified,LARGE BUSINESS Management and Advisory Services YES SMALL BUSINESS Domain NO COMMERCIAL-SECTOR VENDOR Select your Business Size for this Domain:,2026-06-25 06:10:29
RPLUC-000082,GSTMT-000349,dd067ed7e23d469dab6e5a622c30460b,Marketplace for Acquisition of Professional Services (MAPS),dd067ed7e23d469dab6e5a622c30460b_19.bin,PLU-PROP-003,Proposal,Submission Instruction,Submission Instruction,Proposal Intelligence,shall submit;offerors.*submit,1,106,0.82,single_rule,single,reasoned_classified,Joint Venture/Mentor Protégé Information (if applicable) *If proposing as a JV Offerors shall submit your written agreement with the Cover Letter **If proposing as a Mentor Protégé Offerors shall provide verification of the SBA signed agreement with the Cover Letter Are you proposing as a JV?,2026-06-25 06:10:29
RPLUC-000083,GSTMT-000362,d4b0cdaa6b81462db03813b232d2f491,NPSC Physician Services at the NNMC,d4b0cdaa6b81462db03813b232d2f491_1.bin,PLU-SUP-003,Supplier Qualification,Certification,Certification,Supplier Capability Intelligence,\bcertification\b;offeror,1,117,0.94,Certification bundle,bundle,reasoned_classified,"47 the Buy Indian Act, the signature below constitutes self-certification that the Offeror meets the definition of an “Indian Economic Enterprise” (HHSAR 326.601) in response to this Sources Sought Notice, Request for Information (RFI) or Solicitation and resultant contract.",2026-06-25 06:10:29
RPLUC-000084,GSTMT-000364,d4b0cdaa6b81462db03813b232d2f491,NPSC Physician Services at the NNMC,d4b0cdaa6b81462db03813b232d2f491_1.bin,PLU-ADM-006,Delivery and Administration,Contract Administration,Contract Administration,Contract Administration,contracting officer,1,96,0.82,single_rule,single,reasoned_classified,"At any point during these periods, if the Contractor no longer meets the eligibility requirements, the contractor must provide immediate written notification to the Contracting Officer.",2026-06-25 06:10:29
RPLUC-000085,GSTMT-000368,d4b0cdaa6b81462db03813b232d2f491,NPSC Physician Services at the NNMC,d4b0cdaa6b81462db03813b232d2f491_2.bin,PLU-COMP-005,Legal and Compliance,Subcontracting Requirement,Subcontracting Requirement,Subcontracting Intelligence,subcontractor,1,100,0.82,single_rule,single,reasoned_classified,"Breach, Designated Record Set, Disclosure, Health Care Operations, Individual, Minimum Necessary, Notice of Privacy Practices, PHI, Required by Law, Secretary, Security Incident, Subcontractor, Unsecured PHI, and Use.",2026-06-25 06:10:29
RPLUC-000086,GSTMT-000371,d4b0cdaa6b81462db03813b232d2f491,NPSC Physician Services at the NNMC,d4b0cdaa6b81462db03813b232d2f491_4.bin,PLU-META-004,Metadata and Structure,Table of Contents,Table of Contents,Document Structure Intelligence,table of contents,3,94,0.82,single_rule,single,reasoned_classified,"Emergency Department Physician 2026-2027 Performance Work Statement (PWS) for Non-Personal Services EMERGENCY DEPARTMENT SUPERTRACK – EM PHYSICIAN Table of Contents Section Page 1.0 General 2-4 2.0 Definitions 4-6 3.0 Government Furnished Information, Property, & Services 6-7 4.0 Contractor Furnished Property 7 5.0 Performance-Based Requirements 8-11 6.0 Contractor Qualification Requirements 11-14 7.0 Order of Precedence/Challenges to Conflicts 14 8.0 Performance Requirements Summary (PRS) 15 9.0 List of Attachments and Exhibits 16 1 PWS:",2026-06-25 06:10:29
RPLUC-000087,GSTMT-000377,d4b0cdaa6b81462db03813b232d2f491,NPSC Physician Services at the NNMC,d4b0cdaa6b81462db03813b232d2f491_5.bin,PLU-COM-001,Commercial,Pricing Structure,Pricing Structure,Pricing Intelligence,unit price;extended price;quantity,1,129,0.94,Pricing schedule bundle,bundle,reasoned_classified,Description Quantity Unit Price Extended Price 1 NPSC Physician Services - Base 520 hrs.,2026-06-25 06:10:29
RPLUC-000088,GSTMT-000379,d4b0cdaa6b81462db03813b232d2f491,NPSC Physician Services at the NNMC,d4b0cdaa6b81462db03813b232d2f491_5.bin,PLU-META-001,Metadata and Structure,Attachment,Attachment,Document Structure Intelligence,attachment,1,88,0.82,single_rule,single,reasoned_classified,TOTAL Performance Work Statement (PWS) is included as an attachment.,2026-06-25 06:10:29
RPLUC-000089,GSTMT-000380,d4b0cdaa6b81462db03813b232d2f491,NPSC Physician Services at the NNMC,d4b0cdaa6b81462db03813b232d2f491_5.bin,PLU-ADM-003,Delivery and Administration,Schedule,Schedule,Schedule Intelligence,period of performance,1,92,0.82,single_rule,single,reasoned_classified,"The period of performance for this requirement will be set up with a base period of 12 continuous months, followed by 2 additional option periods of 12 months each, for a potential total of 36 months of service.",2026-06-25 06:10:29
RPLUC-000090,GSTMT-000384,cbb1a9af3c004dc68e36a311cbef0ff9,Preventive Maintenance Services for Anti-Climb Bi-folding Gates,cbb1a9af3c004dc68e36a311cbef0ff9_1.bin,PLU-COMP-005,Legal and Compliance,Subcontracting Requirement,Subcontracting Requirement,Subcontracting Intelligence,subcontractor,1,100,0.82,single_rule,single,reasoned_classified,SECTION I SAFETY REQUIREMENTS FOR CONTRACTORS AND SUBCONTRACTORS This safety Plan details the responsibilities related to Safety and Health for the ADD THE NAME OF YOUR PROJECT HERE project.,2026-06-25 06:10:29
RPLUC-000091,GSTMT-000385,cbb1a9af3c004dc68e36a311cbef0ff9,Preventive Maintenance Services for Anti-Climb Bi-folding Gates,cbb1a9af3c004dc68e36a311cbef0ff9_1.bin,PLU-SUP-005,Supplier Qualification,Key Personnel,Key Personnel,Staffing Intelligence,project manager,1,100,0.82,single_rule,single,reasoned_classified,"The responsibilities and other issues declared in this document will be applied to all the stages of the project, extra or different requirements will be established directly by the Project Manager and/or the POSHO when needed.",2026-06-25 06:10:29
RPLUC-000092,GSTMT-000386,cbb1a9af3c004dc68e36a311cbef0ff9,Preventive Maintenance Services for Anti-Climb Bi-folding Gates,cbb1a9af3c004dc68e36a311cbef0ff9_1.bin,PLU-COMP-005,Legal and Compliance,Subcontracting Requirement,Subcontracting Requirement,Subcontracting Intelligence,subcontractor,1,100,0.82,single_rule,single,reasoned_classified,"We, ADD YOUR COMPANY NAME, and all our subcontractors will follow this safety plan and guarantee full access to it in case needed.",2026-06-25 06:10:29
RPLUC-000093,GSTMT-000390,cbb1a9af3c004dc68e36a311cbef0ff9,Preventive Maintenance Services for Anti-Climb Bi-folding Gates,cbb1a9af3c004dc68e36a311cbef0ff9_2.bin,PLU-META-001,Metadata and Structure,Attachment,Attachment,Document Structure Intelligence,attachment,1,88,0.82,single_rule,single,reasoned_classified,"The asset inventory in Attachment B lists only bi-folding gates, control panels, and gate backup UPS units.",2026-06-25 06:10:29
RPLUC-000094,GSTMT-000396,cbb1a9af3c004dc68e36a311cbef0ff9,Preventive Maintenance Services for Anti-Climb Bi-folding Gates,cbb1a9af3c004dc68e36a311cbef0ff9_3.bin,PLU-EVAL-002,Evaluation,Evaluation Navigation,Evaluation Navigation,Document Navigation,evaluation factors;factor,6,129,0.89,Evaluation navigation bundle,bundle,reasoned_classified,TABLE OF CONTENTS SECTION 1 - THE SCHEDULE  SF-1449 cover sheet  Block 20 – SCHEDULE OF SUPPLIES/SERVICES  Block 23 – UNIT PRICE  Attachment A - Statement of Work  Attachment B - Equipment List  Attachment C - Bavak Test Protocol (Specific to Bavak Speed Gate)  Attachment D - Inspection Report (Specific to Bavak Speedgate)  Attachment E - Payment Registration Form – Pesos  Attachment F - Payment Registration– USD to a bank in the United States  Attachment G - Payment Registration– USD to a bank in Mexico  Attachment H - Vendor Portal Registration  Attachment I - Safety Plan SECTION 2 - CONTRACT CLAUSES  Contract Clauses  Addendum to Contract Clauses - FAR and DOSAR Clauses not Prescribed in Part 12 SECTION 3 - SOLICITATION PROVISIONS  Solicitation Provisions  Addendum to Solicitation Provisions - FAR and DOSAR Provisions not Prescribed in Part 12 SECTION 4 - EVALUATION FACTORS  Evaluation Factors  Addendum to Evaluation Factors - FAR and DOSAR Provisions not Prescribed in Part 12 SECTION 5 - REPRESENTATIONS AND CERTIFICATIONS  Addendum to Offeror Representations and Certifications - FAR and DOSAR Provisions not Prescribed in Part 12 SBU - CONTRACTING AND ACQUISITIONS SECTION 1 - THE SCHEDULE CONTINUATION TO SF-1449 RFQ NUMBER 19MX5326Q0043 Block 20 - SCHEDULE OF SUPPLIES/SERVICES 1 DESCRIPTION The U.S.,2026-06-25 06:10:29
RPLUC-000095,GSTMT-000408,cbb1a9af3c004dc68e36a311cbef0ff9,Preventive Maintenance Services for Anti-Climb Bi-folding Gates,cbb1a9af3c004dc68e36a311cbef0ff9_5.bin,PLU-SUP-008,Supplier Qualification,Registration,Registration,Eligibility Intelligence,\bsam\b;\buei\b;cage code;active,4,131,0.89,Registration bundle,bundle,reasoned_classified,"Volume Title  Completed and executed SF-1449 cover sheet (Blocks 17a, 18a, 19, 20, and 23)  Completed Attachment E, F, or G – Payment Registration Form (as applicable based on Section 1.4) I  Completed Section 5 - Representations and Certifications  SAM Unique Entity ID (UEI)  CAGE/NCAGE Code  Evidence of active registration in SAM.gov  Vendor Portal Registration (Attachment H)  Completed Block 23 - Unit Price (Section 1, pages 13-15) showing:",2026-06-25 06:10:29
RPLUC-000096,GSTMT-000423,cb68614c729145b3835e8326258f5ea2,Shade Structure Canopy,cb68614c729145b3835e8326258f5ea2_1.bin,PLU-TECH-004,Technical,Product Requirement,Product Requirement,Product Intelligence,\bmaterials?\b,1,106,0.94,Product/material requirement bundle,bundle,reasoned_classified,The government requires material specified and the government will be installing the canopy.,2026-06-25 06:10:29
RPLUC-000097,GSTMT-000427,cb68614c729145b3835e8326258f5ea2,Shade Structure Canopy,cb68614c729145b3835e8326258f5ea2_1.bin,PLU-TECH-004,Technical,Product Requirement,Product Requirement,Product Intelligence,\bmaterials?\b,1,106,0.94,Product/material requirement bundle,bundle,reasoned_classified,Please provide the material according to the submitted specifications;,2026-06-25 06:10:29
RPLUC-000098,GSTMT-000441,cb68614c729145b3835e8326258f5ea2,Shade Structure Canopy,cb68614c729145b3835e8326258f5ea2_3.bin,PLU-COMP-006,Legal and Compliance,Socioeconomic Requirement,Socioeconomic Requirement,Eligibility Intelligence,small business,1,99,0.82,single_rule,single,reasoned_classified,"The North American Industry Classification System (NAICS) Code for this requirement is 314910 Textile Bag and Canvas Mills, with a Small Business size standard of 500 employees.",2026-06-25 06:10:29
RPLUC-000099,GSTMT-000442,cb68614c729145b3835e8326258f5ea2,Shade Structure Canopy,cb68614c729145b3835e8326258f5ea2_3.bin,PLU-COMP-006,Legal and Compliance,Socioeconomic Requirement,Socioeconomic Requirement,Eligibility Intelligence,small business,1,99,0.82,single_rule,single,reasoned_classified,This Request for Quote (RFQ) for Shade Structure Canopy is being set aside for Total Small Businesses.,2026-06-25 06:10:29
RPLUC-000100,GSTMT-000445,cb68614c729145b3835e8326258f5ea2,Shade Structure Canopy,cb68614c729145b3835e8326258f5ea2_3.bin,PLU-COMP-006,Legal and Compliance,Socioeconomic Requirement,Socioeconomic Requirement,Eligibility Intelligence,small business,1,99,0.82,single_rule,single,reasoned_classified,"Meaning, the goal of this solicitation is to find a small business to meet the requirements of the 164th Airlift Wing.",2026-06-25 06:10:29
RPLUC-000101,GSTMT-000446,cb68614c729145b3835e8326258f5ea2,Shade Structure Canopy,cb68614c729145b3835e8326258f5ea2_3.bin,PLU-EVAL-001,Evaluation,Evaluation Framework,Evaluation Framework,Evaluation Intelligence,best value;award will be made,1,139,0.94,Best value award framework bundle,bundle,reasoned_classified,“Award will be made to the offeror who represents the best value to the,2026-06-25 06:10:29
RPLUC-000102,GSTMT-000447,c502adb5aeb8463f88d90c9be98eed6e,N--George Washington Birthplace National Monument- RE,c502adb5aeb8463f88d90c9be98eed6e_1.bin,PLU-COM-001,Commercial,Pricing Structure,Pricing Structure,Pricing Intelligence,line item,2,118,0.94,Pricing schedule bundle,bundle,reasoned_classified,www.NPS.gov/GEWA February 2026 PROJECT MANUAL COVER 00 01 00 - Page 2 of 2 Upgrade HVAC System George Washington Birthplace National Monument PMIS # 305342 TABLE OF CONTENTS 01 00 00 GENERAL REQUIREMENTS 01 10 00 SUMMARY OF WORK 01 26 01 CONTRACT MODIFICATION PROCEDURES 01 27 00 DEFINITION OF CONTRACT LINE ITEMS 01 31 00 PROJECT MANAGEMENT AND COORDINATION 01 32 16 CONSTRUCTION SCHEDULE 01 32 33 PHOTOGRAPHIC DOCUMENTATION 01 33 00 SUBMITTAL PROCEDURES 01 35 13.22 ARCHEOLOGICAL PROTECTION 01 35 23 SAFETY REQUIREMENTS 01 35 91 HISTORIC PRESERVATION TREATMENT PROCEDURES 01 40 00 QUALITY REQUIREMENTS 01 42 00 REGERENCE STANDARDS 01 67 00 PRODUCT REQUIREMENTS 01 73 29 CUTTING AND PATCHING 01 73 40 EXECUTION 01 74 19 CONSTRUCTION WASTE MANAGEMENT AND DISPOSAL 01 77 00 CLOSEOUT PROCEDURES 01 78 23 OPERATION AND MAINTENANCE DATA 01 79 00 DEMONSTRATION & TRAINING 02 41 19 SELECTI,2026-06-25 06:10:29
RPLUC-000103,GSTMT-000448,c502adb5aeb8463f88d90c9be98eed6e,N--George Washington Birthplace National Monument- RE,c502adb5aeb8463f88d90c9be98eed6e_2.bin,PLU-META-006,Metadata and Structure,Document Marking,Document Marking,Document Structure Intelligence,source selection sensitive,1,96,0.82,single_rule,single,reasoned_classified,Department of Interior Past Performance Questionnaire (PPQ) Notice to Contractor Information provided in this questionnaire is intended for use as source selection information and as such is deemed Source Selection Sensitive.,2026-06-25 06:10:29
RPLUC-000104,GSTMT-000452,c502adb5aeb8463f88d90c9be98eed6e,N--George Washington Birthplace National Monument- RE,c502adb5aeb8463f88d90c9be98eed6e_2.bin,PLU-TECH-004,Technical,Product Requirement,Product Requirement,Product Intelligence,\bmaterials?\b,1,106,0.94,Product/material requirement bundle,bundle,reasoned_classified,"The contractor shall not be permitted to use any information provided in this questionnaire to publicize, or otherwise circulate, promotional materials that state or imply Governmental, organizational, group, expert, or individual endorsement or consumer testimonial of a product, service, or position which the contractor represents.",2026-06-25 06:10:29
