plu_classification_id,grounded_statement_id,notice_id,opportunity_title,source_file,plu_id,context_family,context_type,canonical_object,downstream_route,matched_patterns,candidate_count,classification_score,confidence,classification_status,source_statement,created_at
OPLUC-000059,GSTMT-000205,38811fa6a48a41e0979b84f46b44b030,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,38811fa6a48a41e0979b84f46b44b030_15.bin,PLU-COMP-004,Legal and Compliance,Labor Requirement,Labor Requirement,Labor Intelligence,davis-bacon,1,75,0.95,optimized_classified,EMPLOYEE RIGHTS UNDER THE DAVIS-BACON ACT FOR LABORERS AND MECHANICS EMPLOYED ON FEDERAL OR FEDERALLY ASSISTED CONSTRUCTION PROJECTS PREVAILING You must be paid not less than the wage rate listed in the Davis-Bacon Wage Decision posted with this Notice for the work you perform.,2026-06-24 23:11:06
OPLUC-000060,GSTMT-000208,38811fa6a48a41e0979b84f46b44b030,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,38811fa6a48a41e0979b84f46b44b030_15.bin,PLU-COMP-004,Legal and Compliance,Labor Requirement,Labor Requirement,Labor Intelligence,certified payroll,1,75,0.95,optimized_classified,"A contractor who falsifies certified payroll records or induces wage kickbacks may be subject to civil or criminal prosecution, fines and/or imprisonment.",2026-06-24 23:11:06
OPLUC-000061,GSTMT-000210,38811fa6a48a41e0979b84f46b44b030,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,38811fa6a48a41e0979b84f46b44b030_16.bin,PLU-SUP-003,Supplier Qualification,Certification,Certification,Supplier Capability Intelligence,certificate of compliance,2,81,0.95,optimized_classified,VAAR 852.219-75 VA NOTICE OF LIMITATIONS ON SUBCONTRACTING—CERTIFICATE OF COMPLIANCE FOR SERVICES AND CONSTRUCTION (JAN 2023) (DEVIATION) (a) Pursuant to 38 U.S.C.,2026-06-24 23:11:06
OPLUC-000062,GSTMT-000211,38811fa6a48a41e0979b84f46b44b030,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,38811fa6a48a41e0979b84f46b44b030_16.bin,PLU-COMP-005,Legal and Compliance,Subcontracting Requirement,Subcontracting Requirement,Subcontracting Intelligence,subcontracting;limitations on subcontracting,3,78,0.95,optimized_classified,"8127(l)(2), the offeror certifies that— (1) If awarded a contract (see FAR 2.101 definition), it will comply with the limitations on subcontracting requirement as provided in the solicitation and the resultant contract, as follows:",2026-06-24 23:11:06
OPLUC-000063,GSTMT-000212,38811fa6a48a41e0979b84f46b44b030,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,38811fa6a48a41e0979b84f46b44b030_16.bin,PLU-SUP-003,Supplier Qualification,Certification,Certification,Supplier Capability Intelligence,\bcertification\b,2,81,0.95,optimized_classified,"In the case of a contract for services (except construction), the contractor will not pay more than 50% of the amount paid by the government to it to firms that are not certified SDVOSBs listed in the SBA certification database as set forth in 852.219–73 or certified VOSBs listed in the SBA certification database as set forth in 852.219–74.",2026-06-24 23:11:06
OPLUC-000064,GSTMT-000213,38811fa6a48a41e0979b84f46b44b030,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,38811fa6a48a41e0979b84f46b44b030_16.bin,PLU-COMP-006,Legal and Compliance,Socioeconomic Requirement,Socioeconomic Requirement,Eligibility Intelligence,small business,1,75,0.95,optimized_classified,Other direct costs may be excluded to the extent they are not the principal purpose of the acquisition and small business concerns do not provide the service as set forth in 13 CFR 125.6.,2026-06-24 23:11:06
OPLUC-000065,GSTMT-000214,38811fa6a48a41e0979b84f46b44b030,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,38811fa6a48a41e0979b84f46b44b030_16.bin,PLU-SUP-003,Supplier Qualification,Certification,Certification,Supplier Capability Intelligence,\bcertification\b,2,81,0.95,optimized_classified,"In the case of a contract for general construction, the contractor will not pay more than 85% of the amount paid by the government to it to firms that are not certified SDVOSBs listed in the SBA certification database as set forth in 852.219–73 or certified VOSBs listed in the SBA certification database as set forth in 852.219–74.",2026-06-24 23:11:06
OPLUC-000066,GSTMT-000219,3164fcc003e84650b53a7bdb56485b05,"USAG DHR, Fort Bragg ID Card Services",3164fcc003e84650b53a7bdb56485b05_1.bin,PLU-TECH-004,Technical,Product Requirement,Product Requirement,Product Intelligence,\bmaterials?\b;equipment,1,76,0.95,optimized_classified,"The Contractor shall provide all personnel, equipment, supplies, facilities, transportation, tools, materials, supervision, and other items and non-personal services necessary to perform the verification and issuance of military identification (USID) and CAC cards for active duty military, Reserve and National Guard members, military retirees, family members, Department of Defense (DoD) civilians and other eligible recipients, as defined in this PWS, except for those items specified as government furnished property and services.",2026-06-24 23:11:06
OPLUC-000067,GSTMT-000235,09ce44adca35468fb46ab77206c9afb7,6515--NetApp,09ce44adca35468fb46ab77206c9afb7_2.bin,PLU-COM-003,Commercial,Price Schedule,Price Schedule,Pricing Intelligence,\bclin\b,1,77,0.95,optimized_classified,GENERAL INFORMATION PLACE OF PERFORMANCE ADDITIONAL INFORMATION DESCRIPTION Amendment to change quantity on Clin #15 from 48 to 64 Amendment to include RFQ answers Question 1 -0015 (UCS-DDR5-BLK):,2026-06-24 23:11:06
OPLUC-000068,GSTMT-000237,09ce44adca35468fb46ab77206c9afb7,6515--NetApp,09ce44adca35468fb46ab77206c9afb7_2.bin,PLU-ADM-003,Delivery and Administration,Schedule,Schedule,Schedule Intelligence,schedule,2,68,0.94,optimized_classified,"Section B.3 (Price/Cost Schedule, page 8) lists a quantity of 48 units for the same item.",2026-06-24 23:11:06
OPLUC-000069,GSTMT-000238,09ce44adca35468fb46ab77206c9afb7,6515--NetApp,09ce44adca35468fb46ab77206c9afb7_2.bin,PLU-ADM-003,Delivery and Administration,Schedule,Schedule,Schedule Intelligence,schedule,1,68,0.94,optimized_classified,Please confirm which quantity governs for quoting and contract performance—64 per the SOW or 48 per the Price/Cost Schedule—and issue an amendment or written clarification before the offer due date.,2026-06-24 23:11:06
OPLUC-000070,GSTMT-000240,09ce44adca35468fb46ab77206c9afb7,6515--NetApp,09ce44adca35468fb46ab77206c9afb7_2.bin,PLU-COM-003,Commercial,Price Schedule,Price Schedule,Pricing Intelligence,line item,1,77,0.95,optimized_classified,"Subscription Pricing Structure Line item 0003, DC-MGT-IS-SAAS-ES (Infrastructure Services SaaS/CVA – Essentials), is a Cisco subscription-based product priced on an annual term basis rather than as a one-time purchase.",2026-06-24 23:11:06
OPLUC-000071,GSTMT-000242,09ce44adca35468fb46ab77206c9afb7,6515--NetApp,09ce44adca35468fb46ab77206c9afb7_2.bin,PLU-COM-003,Commercial,Price Schedule,Price Schedule,Pricing Intelligence,line item,1,77,0.95,optimized_classified,Please confirm the intended contract duration for this subscription line item so all offerors may price it accurately and consistently.,2026-06-24 23:11:06
OPLUC-000072,GSTMT-000243,09ce44adca35468fb46ab77206c9afb7,6515--NetApp,09ce44adca35468fb46ab77206c9afb7_2.bin,PLU-PROP-003,Proposal,Submission Instruction,Submission Instruction,Proposal Intelligence,offerors.*submit,3,98,0.95,optimized_classified,Question 3 — OEM Authorization Letter Requirements Section E.2.5 requires offerors to submit an OEM authorization letter dated no more than 90 days,2026-06-24 23:11:06
OPLUC-000073,GSTMT-000245,09ce44adca35468fb46ab77206c9afb7,6515--NetApp,09ce44adca35468fb46ab77206c9afb7_4.bin,PLU-META-005,Metadata and Structure,Form,Form,Document Structure Intelligence,sf[- ]1449,3,113,0.95,optimized_classified,GENERAL INFORMATION PLACE OF PERFORMANCE ADDITIONAL INFORMATION DESCRIPTION SECTION B - CONTINUATION OF SF 1449 BLOCKS B.1 CONTRACT ADMINISTRATION DATA 1.,2026-06-24 23:11:06
OPLUC-000074,GSTMT-000247,09ce44adca35468fb46ab77206c9afb7,6515--NetApp,09ce44adca35468fb46ab77206c9afb7_4.bin,PLU-ADM-006,Delivery and Administration,Contract Administration,Contract Administration,Contract Administration,contract administration,1,68,0.94,optimized_classified,All contract administration matters will be handled by the following individuals:,2026-06-24 23:11:06
OPLUC-000075,GSTMT-000248,09ce44adca35468fb46ab77206c9afb7,6515--NetApp,09ce44adca35468fb46ab77206c9afb7_4.bin,PLU-COM-007,Commercial,Payment Terms,Payment Terms,Contract Administration,invoice,1,77,0.95,optimized_classified,Invoices shall be submitted in arrears:,2026-06-24 23:11:06
OPLUC-000076,GSTMT-000249,09ce44adca35468fb46ab77206c9afb7,6515--NetApp,09ce44adca35468fb46ab77206c9afb7_4.bin,PLU-COM-007,Commercial,Payment Terms,Payment Terms,Contract Administration,invoice,1,77,0.95,optimized_classified,All Invoices from the contractor shall be submitted electronically in accordance with VAAR Clause 852.232-72 Electronic Submission of Payment Requests.,2026-06-24 23:11:06
OPLUC-000077,GSTMT-000250,09ce44adca35468fb46ab77206c9afb7,6515--NetApp,09ce44adca35468fb46ab77206c9afb7_4.bin,PLU-PROP-006,Proposal,Amendment Acknowledgement,Amendment Acknowledgement,Proposal Compliance,acknowledge.*amendment,1,98,0.95,optimized_classified,The offeror acknowledges receipt of amendments to the Solicitation numbered and dated as follows:,2026-06-24 23:11:06
OPLUC-000078,GSTMT-000260,f33e54c1c9644aa8bb2eb283b82a85ad,31 CES n. 25 military gear lockers.,f33e54c1c9644aa8bb2eb283b82a85ad_2.bin,PLU-ADM-003,Delivery and Administration,Schedule,Schedule,Schedule Intelligence,schedule,1,68,0.94,optimized_classified,METHOD OF SOLICITATION UNLESS BLOCK IS MARKED THE DEFENSE PRIORITIES REQUEST FOR INVITATION REQUEST FOR SEE SCHEDULE AND ALLOCATIONS QUOTE (RFQ) FOR BID (IFB) PROPOSAL (RFP) SYSTEM-DPAS (15 CFR 700) 15.,2026-06-24 23:11:06
OPLUC-000079,GSTMT-000271,f33e54c1c9644aa8bb2eb283b82a85ad,31 CES n. 25 military gear lockers.,f33e54c1c9644aa8bb2eb283b82a85ad_5.bin,PLU-EVAL-007,Evaluation,Scoring Rating,Scoring Rating,Evaluation Intelligence,\bacceptable\b,2,78,0.95,optimized_classified,"Looking at the questions and answers loaded toady, Please also advise that as per the Salient+Characteristics attachment The units will be a minimum 42” wide, 24” deep and 78” tall, are other dimensions also acceptable?",2026-06-24 23:11:06
OPLUC-000080,GSTMT-000275,f33e54c1c9644aa8bb2eb283b82a85ad,31 CES n. 25 military gear lockers.,f33e54c1c9644aa8bb2eb283b82a85ad_6.bin,PLU-COMP-001,Legal and Compliance,FAR Clause,FAR Clause,Compliance Intelligence,\bfar\b,1,75,0.95,optimized_classified,"As far as I can see, you have not included an installation line on the solicitation.",2026-06-24 23:11:06
OPLUC-000081,GSTMT-000281,f29a122869e64fa19982e9655482f397,Hex Jam Nuts,f29a122869e64fa19982e9655482f397_1.bin,PLU-TECH-001,Technical,Technical Specification,Technical Specification,Technical Intelligence,specifications,1,73,0.95,optimized_classified,SECURITY AGREEMENT FOR PROTECTION OF NAVAL NUCLEAR PROPULSION INFORMATION The undersigned acknowledges that he/she will be provided specifications or documents as part of SPMYM326Q1134/SPMYM326P1134 which are marked as containing sensitive information which is controlled pursuant to federal law.,2026-06-24 23:11:06
OPLUC-000082,GSTMT-000282,f29a122869e64fa19982e9655482f397,Hex Jam Nuts,f29a122869e64fa19982e9655482f397_1.bin,PLU-TECH-001,Technical,Technical Specification,Technical Specification,Technical Intelligence,specifications,1,73,0.95,optimized_classified,"These specifications and documents and the information contained therein, shall be used only for the purpose of preparing quotations or processing orders, and shall in no case be transmitted outside the company or to any foreign national within the company.",2026-06-24 23:11:06
OPLUC-000083,GSTMT-000283,f29a122869e64fa19982e9655482f397,Hex Jam Nuts,f29a122869e64fa19982e9655482f397_1.bin,PLU-TECH-001,Technical,Technical Specification,Technical Specification,Technical Intelligence,specifications,1,73,0.95,optimized_classified,"While in use, the specifications shall be maintained under surveillance and shall be kept secure, so as to preclude access by any persons who do not have a legitimate need to view them.",2026-06-24 23:11:06
OPLUC-000084,GSTMT-000284,f29a122869e64fa19982e9655482f397,Hex Jam Nuts,f29a122869e64fa19982e9655482f397_1.bin,PLU-TECH-001,Technical,Technical Specification,Technical Specification,Technical Intelligence,specifications,2,73,0.95,optimized_classified,"The specifications and documents shall not be copied, and unless otherwise permitted by the Contracting Officer, shall be returned in their entirety to the Portsmouth Naval Shipyard upon completion of the contract.",2026-06-24 23:11:06
OPLUC-000085,GSTMT-000285,f29a122869e64fa19982e9655482f397,Hex Jam Nuts,f29a122869e64fa19982e9655482f397_2.bin,PLU-COM-001,Commercial,Pricing Structure,Pricing Structure,Pricing Intelligence,delivered prices,1,77,0.95,optimized_classified,REQUEST FOR QUOTATION SPMYM326Q1134 ** THIS IS NOT AN ORDER ** PLEASE PROVIDE DELIVERED PRICES (FOB DESTINATION) REFERENCE/PR:,2026-06-24 23:11:06
OPLUC-000086,GSTMT-000294,f29a122869e64fa19982e9655482f397,Hex Jam Nuts,f29a122869e64fa19982e9655482f397_3.bin,PLU-SUP-008,Supplier Qualification,Registration,Registration,Eligibility Intelligence,\bsam\b,3,81,0.95,optimized_classified,"FAR CLAUSES 52.204-26 Covered Telecommunications Equipment Or Services-Representation (OCT 2020) {if available in SAM reps and certs, duplication may not be required} (a) Definitions.",2026-06-24 23:11:06
OPLUC-000087,GSTMT-000295,f29a122869e64fa19982e9655482f397,Hex Jam Nuts,f29a122869e64fa19982e9655482f397_3.bin,PLU-TECH-004,Technical,Product Requirement,Product Requirement,Product Intelligence,equipment,1,73,0.95,optimized_classified,"As used in this provision, ""covered telecommunications equipment or services"" and ""reasonable inquiry"" have the meaning provided in the clause 52.204-25, Prohibition on Contracting for Certain Telecommunications and Video Surveillance Services or Equipment.",2026-06-24 23:11:06
OPLUC-000088,GSTMT-000296,f29a122869e64fa19982e9655482f397,Hex Jam Nuts,f29a122869e64fa19982e9655482f397_3.bin,PLU-SUP-008,Supplier Qualification,Registration,Registration,Eligibility Intelligence,\bsam\b;system for award management,2,84,0.95,optimized_classified,"The Offeror shall review the list of excluded parties in the System for Award Management (SAM) (https://www.sam.gov) for entities excluded from receiving federal awards for ""covered telecommunications equipment or services"".",2026-06-24 23:11:06
OPLUC-000089,GSTMT-000297,f29a122869e64fa19982e9655482f397,Hex Jam Nuts,f29a122869e64fa19982e9655482f397_3.bin,PLU-COMP-003,Legal and Compliance,Representation,Representation,Compliance Intelligence,represents that,2,75,0.95,optimized_classified,"The Offeror represents that it [__] does, [__] does not provide covered telecommunications equipment or services as a part of its offered products or services to the Government in the performance of any contract, subcontract, or other contractual instrument.",2026-06-24 23:11:06
OPLUC-000090,GSTMT-000298,f29a122869e64fa19982e9655482f397,Hex Jam Nuts,f29a122869e64fa19982e9655482f397_3.bin,PLU-TECH-004,Technical,Product Requirement,Product Requirement,Product Intelligence,equipment,1,73,0.95,optimized_classified,"(End of provision) 52.204-24 REPRESENTATION REGARDING CERTAIN TELECOMMUNICATIONS AND VIDEO SURVEILLANCE SERVICES OR EQUIPMENT (NOV 2021) {MUST BE FILLED IN, if “does” in 52.204-26} The Offeror shall not complete the representation at paragraph (d)(",2026-06-24 23:11:06
OPLUC-000091,GSTMT-000301,dedd02b3424a4149b2823ccee9a76082,Patient Ceiling Lift Slings Replacement,dedd02b3424a4149b2823ccee9a76082_1.bin,PLU-PROP-003,Proposal,Submission Instruction,Submission Instruction,Proposal Intelligence,responses.*shall include,1,98,0.95,optimized_classified,Unrestricted – no set-aside Responses to this notice shall include the following:,2026-06-24 23:11:06
OPLUC-000092,GSTMT-000302,dedd02b3424a4149b2823ccee9a76082,Patient Ceiling Lift Slings Replacement,dedd02b3424a4149b2823ccee9a76082_1.bin,PLU-SUP-008,Supplier Qualification,Registration,Registration,Eligibility Intelligence,\bsam\b;\buei\b;cage code;tax id,3,90,0.95,optimized_classified,"(a) company name b) address (c) socio-economic status, (d) point of contact (e) phone, fax, and email (f) SAM UEI number (g) Cage Code (h) Tax ID Number (i) and must provide a capability statement that addresses the organizations qualifications and ability to perform as a contractor and provide the commodities described below.",2026-06-24 23:11:06
OPLUC-000093,GSTMT-000304,dd067ed7e23d469dab6e5a622c30460b,Marketplace for Acquisition of Professional Services (MAPS),dd067ed7e23d469dab6e5a622c30460b_2.bin,PLU-ADM-003,Delivery and Administration,Schedule,Schedule,Schedule Intelligence,schedule,1,68,0.94,optimized_classified,"Sealed offers in original and copies for furnishings the supplies or services in the Schedule will be received at the place specified in item 8, or if hand carried, in the depository located in until local time (Hour) (Date) CAUTION - LATE Submissions, Modifications, and Withdrawals:",2026-06-24 23:11:06
OPLUC-000094,GSTMT-000305,dd067ed7e23d469dab6e5a622c30460b,Marketplace for Acquisition of Professional Services (MAPS),dd067ed7e23d469dab6e5a622c30460b_2.bin,PLU-META-004,Metadata and Structure,Table of Contents,Table of Contents,Document Structure Intelligence,table of contents,8,113,0.95,optimized_classified,"TABLE OF CONTENTS (X) SECTION DESCRIPTION PAGE(S) (X) SECTION DESCRIPTION PAGE(S) PART I - THE SCHEDULE PART II - CONTRACT CLAUSES A SOLICITATION/CONTRACT FORM I CONTRACT CLAUSES B SUPPLIES OR SERVICES AND PRICES/COSTS PART III - LIST OF DOCUMENTS, EXHIBITS AND OTHER ATTACHMENTS C DESCRIPTION/SPECIFICATIONS/WORK STATEMENT J LIST OF ATTACHMENTS D PACKAGING AND MARKING PART IV - REPRESENTATIONS AND INSTRUCTIONS E INSPECTION AN",2026-06-24 23:11:06
OPLUC-000095,GSTMT-000319,dd067ed7e23d469dab6e5a622c30460b,Marketplace for Acquisition of Professional Services (MAPS),dd067ed7e23d469dab6e5a622c30460b_10.bin,PLU-ADM-003,Delivery and Administration,Schedule,Schedule,Schedule Intelligence,schedule,3,68,0.94,optimized_classified,"Summary of Changes – Amendment 09 – Sections L & M and Attachment 0002 Scorecard Section L – Instructions to Offerors • L.2.3.3 QP Submission Vacancy Rate, Time to Fill Rate, Schedule and Completeness:",2026-06-24 23:11:06
OPLUC-000096,GSTMT-000321,dd067ed7e23d469dab6e5a622c30460b,Marketplace for Acquisition of Professional Services (MAPS),dd067ed7e23d469dab6e5a622c30460b_10.bin,PLU-EVAL-002,Evaluation,Evaluation Navigation,Evaluation Navigation,Document Navigation,section m;evaluation factors;evaluation approach,3,97,0.95,optimized_classified,Section M – Evaluation Factors • M.2 Evaluation Approach:,2026-06-24 23:11:06
OPLUC-000097,GSTMT-000322,dd067ed7e23d469dab6e5a622c30460b,Marketplace for Acquisition of Professional Services (MAPS),dd067ed7e23d469dab6e5a622c30460b_10.bin,PLU-META-001,Metadata and Structure,Attachment,Attachment,Document Structure Intelligence,attachment,1,63,0.92,optimized_classified,Attachment 0002 • Commercial Sector Vendor Scorecard Amendment 0004:,2026-06-24 23:11:06
OPLUC-000098,GSTMT-000323,dd067ed7e23d469dab6e5a622c30460b,Marketplace for Acquisition of Professional Services (MAPS),dd067ed7e23d469dab6e5a622c30460b_10.bin,PLU-COMP-006,Legal and Compliance,Socioeconomic Requirement,Socioeconomic Requirement,Eligibility Intelligence,small business,1,75,0.95,optimized_classified,• Large and Small Business Scorecard Amendment 0006:,2026-06-24 23:11:06
OPLUC-000099,GSTMT-000339,dd067ed7e23d469dab6e5a622c30460b,Marketplace for Acquisition of Professional Services (MAPS),dd067ed7e23d469dab6e5a622c30460b_18.bin,PLU-PROP-003,Proposal,Submission Instruction,Submission Instruction,Proposal Intelligence,offerors.*submit,1,98,0.95,optimized_classified,IF NEEDED OFFERORS CAN HAVE ONE (1) ALTERNATE PERSON REGISTER IN THE CASE OF AN EMERGENCY.*** In order to submit a proposal for the MAPS acquisition all Offerors shall register through the following link to create their profiles.,2026-06-24 23:11:06
OPLUC-000100,GSTMT-000346,dd067ed7e23d469dab6e5a622c30460b,Marketplace for Acquisition of Professional Services (MAPS),dd067ed7e23d469dab6e5a622c30460b_19.bin,PLU-META-001,Metadata and Structure,Attachment,Attachment,Document Structure Intelligence,attachment,1,63,0.92,optimized_classified,Cover Letter Form Attachment 0001 Amendment 02 Prime Company Name:,2026-06-24 23:11:06
OPLUC-000101,GSTMT-000347,dd067ed7e23d469dab6e5a622c30460b,Marketplace for Acquisition of Professional Services (MAPS),dd067ed7e23d469dab6e5a622c30460b_19.bin,PLU-ADM-006,Delivery and Administration,Contract Administration,Contract Administration,Contract Administration,point of contact,1,68,0.94,optimized_classified,"Point of Contact for Proposal (name, email, phone):",2026-06-24 23:11:06
OPLUC-000102,GSTMT-000348,dd067ed7e23d469dab6e5a622c30460b,Marketplace for Acquisition of Professional Services (MAPS),dd067ed7e23d469dab6e5a622c30460b_19.bin,PLU-COMP-006,Legal and Compliance,Socioeconomic Requirement,Socioeconomic Requirement,Eligibility Intelligence,small business,1,75,0.95,optimized_classified,LARGE BUSINESS Management and Advisory Services YES SMALL BUSINESS Domain NO COMMERCIAL-SECTOR VENDOR Select your Business Size for this Domain:,2026-06-24 23:11:06
OPLUC-000103,GSTMT-000349,dd067ed7e23d469dab6e5a622c30460b,Marketplace for Acquisition of Professional Services (MAPS),dd067ed7e23d469dab6e5a622c30460b_19.bin,PLU-PROP-003,Proposal,Submission Instruction,Submission Instruction,Proposal Intelligence,shall submit;offerors.*submit,1,101,0.95,optimized_classified,Joint Venture/Mentor Protégé Information (if applicable) *If proposing as a JV Offerors shall submit your written agreement with the Cover Letter **If proposing as a Mentor Protégé Offerors shall provide verification of the SBA signed agreement with the Cover Letter Are you proposing as a JV?,2026-06-24 23:11:06
OPLUC-000104,GSTMT-000362,d4b0cdaa6b81462db03813b232d2f491,NPSC Physician Services at the NNMC,d4b0cdaa6b81462db03813b232d2f491_1.bin,PLU-SUP-003,Supplier Qualification,Certification,Certification,Supplier Capability Intelligence,\bcertification\b,1,81,0.95,optimized_classified,"47 the Buy Indian Act, the signature below constitutes self-certification that the Offeror meets the definition of an “Indian Economic Enterprise” (HHSAR 326.601) in response to this Sources Sought Notice, Request for Information (RFI) or Solicitation and resultant contract.",2026-06-24 23:11:06
OPLUC-000105,GSTMT-000364,d4b0cdaa6b81462db03813b232d2f491,NPSC Physician Services at the NNMC,d4b0cdaa6b81462db03813b232d2f491_1.bin,PLU-ADM-006,Delivery and Administration,Contract Administration,Contract Administration,Contract Administration,contracting officer,1,68,0.94,optimized_classified,"At any point during these periods, if the Contractor no longer meets the eligibility requirements, the contractor must provide immediate written notification to the Contracting Officer.",2026-06-24 23:11:06
OPLUC-000106,GSTMT-000368,d4b0cdaa6b81462db03813b232d2f491,NPSC Physician Services at the NNMC,d4b0cdaa6b81462db03813b232d2f491_2.bin,PLU-COMP-005,Legal and Compliance,Subcontracting Requirement,Subcontracting Requirement,Subcontracting Intelligence,subcontractor,1,75,0.95,optimized_classified,"Breach, Designated Record Set, Disclosure, Health Care Operations, Individual, Minimum Necessary, Notice of Privacy Practices, PHI, Required by Law, Secretary, Security Incident, Subcontractor, Unsecured PHI, and Use.",2026-06-24 23:11:06
OPLUC-000107,GSTMT-000371,d4b0cdaa6b81462db03813b232d2f491,NPSC Physician Services at the NNMC,d4b0cdaa6b81462db03813b232d2f491_4.bin,PLU-META-004,Metadata and Structure,Table of Contents,Table of Contents,Document Structure Intelligence,table of contents,5,113,0.95,optimized_classified,"Emergency Department Physician 2026-2027 Performance Work Statement (PWS) for Non-Personal Services EMERGENCY DEPARTMENT SUPERTRACK – EM PHYSICIAN Table of Contents Section Page 1.0 General 2-4 2.0 Definitions 4-6 3.0 Government Furnished Information, Property, & Services 6-7 4.0 Contractor Furnished Property 7 5.0 Performance-Based Requirements 8-11 6.0 Contractor Qualification Requirements 11-14 7.0 Order of Precedence/Challenges to Conflicts 14 8.0 Performance Requirements Summary (PRS) 15 9.0 List of Attachments and Exhibits 16 1 PWS:",2026-06-24 23:11:06
OPLUC-000108,GSTMT-000377,d4b0cdaa6b81462db03813b232d2f491,NPSC Physician Services at the NNMC,d4b0cdaa6b81462db03813b232d2f491_5.bin,PLU-COM-004,Commercial,Unit Price,Unit Price,Pricing Intelligence,unit price;extended price,1,80,0.95,optimized_classified,Description Quantity Unit Price Extended Price 1 NPSC Physician Services - Base 520 hrs.,2026-06-24 23:11:06
OPLUC-000109,GSTMT-000379,d4b0cdaa6b81462db03813b232d2f491,NPSC Physician Services at the NNMC,d4b0cdaa6b81462db03813b232d2f491_5.bin,PLU-META-001,Metadata and Structure,Attachment,Attachment,Document Structure Intelligence,attachment,1,63,0.92,optimized_classified,TOTAL Performance Work Statement (PWS) is included as an attachment.,2026-06-24 23:11:06
OPLUC-000110,GSTMT-000380,d4b0cdaa6b81462db03813b232d2f491,NPSC Physician Services at the NNMC,d4b0cdaa6b81462db03813b232d2f491_5.bin,PLU-COM-005,Commercial,Options,Options,Opportunity Intelligence,option period,2,77,0.95,optimized_classified,"The period of performance for this requirement will be set up with a base period of 12 continuous months, followed by 2 additional option periods of 12 months each, for a potential total of 36 months of service.",2026-06-24 23:11:06
OPLUC-000111,GSTMT-000382,cbb1a9af3c004dc68e36a311cbef0ff9,Preventive Maintenance Services for Anti-Climb Bi-folding Gates,cbb1a9af3c004dc68e36a311cbef0ff9_1.bin,PLU-ADM-001,Delivery and Administration,Deliverable,Deliverable,Delivery Intelligence,\bplan\b,1,68,0.94,optimized_classified,Safety Management Plan ADD YOUR COMPANY NAME AND DATA Project:__ ADD THE NAME OF YOUR PROJECT HERE Location:____ ADD THE PROJECT LOCATION HERE Date:,2026-06-24 23:11:06
OPLUC-000112,GSTMT-000383,cbb1a9af3c004dc68e36a311cbef0ff9,Preventive Maintenance Services for Anti-Climb Bi-folding Gates,cbb1a9af3c004dc68e36a311cbef0ff9_1.bin,PLU-ADM-001,Delivery and Administration,Deliverable,Deliverable,Delivery Intelligence,\bplan\b,1,68,0.94,optimized_classified,ADD THE DATE THE MANAGEMENT PLAN WILL BE DELIEVERED SAFETY PLAN:,2026-06-24 23:11:06
OPLUC-000113,GSTMT-000384,cbb1a9af3c004dc68e36a311cbef0ff9,Preventive Maintenance Services for Anti-Climb Bi-folding Gates,cbb1a9af3c004dc68e36a311cbef0ff9_1.bin,PLU-COMP-005,Legal and Compliance,Subcontracting Requirement,Subcontracting Requirement,Subcontracting Intelligence,subcontractor,3,75,0.95,optimized_classified,SECTION I SAFETY REQUIREMENTS FOR CONTRACTORS AND SUBCONTRACTORS This safety Plan details the responsibilities related to Safety and Health for the ADD THE NAME OF YOUR PROJECT HERE project.,2026-06-24 23:11:06
OPLUC-000114,GSTMT-000385,cbb1a9af3c004dc68e36a311cbef0ff9,Preventive Maintenance Services for Anti-Climb Bi-folding Gates,cbb1a9af3c004dc68e36a311cbef0ff9_1.bin,PLU-SUP-005,Supplier Qualification,Key Personnel,Key Personnel,Staffing Intelligence,project manager,1,81,0.95,optimized_classified,"The responsibilities and other issues declared in this document will be applied to all the stages of the project, extra or different requirements will be established directly by the Project Manager and/or the POSHO when needed.",2026-06-24 23:11:06
OPLUC-000115,GSTMT-000386,cbb1a9af3c004dc68e36a311cbef0ff9,Preventive Maintenance Services for Anti-Climb Bi-folding Gates,cbb1a9af3c004dc68e36a311cbef0ff9_1.bin,PLU-COMP-005,Legal and Compliance,Subcontracting Requirement,Subcontracting Requirement,Subcontracting Intelligence,subcontractor,2,75,0.95,optimized_classified,"We, ADD YOUR COMPANY NAME, and all our subcontractors will follow this safety plan and guarantee full access to it in case needed.",2026-06-24 23:11:06
OPLUC-000116,GSTMT-000390,cbb1a9af3c004dc68e36a311cbef0ff9,Preventive Maintenance Services for Anti-Climb Bi-folding Gates,cbb1a9af3c004dc68e36a311cbef0ff9_2.bin,PLU-META-001,Metadata and Structure,Attachment,Attachment,Document Structure Intelligence,attachment,1,63,0.92,optimized_classified,"The asset inventory in Attachment B lists only bi-folding gates, control panels, and gate backup UPS units.",2026-06-24 23:11:06
