interpretation_log_id,semantic_object_id,source_type,source_id,source_text,interpreted_object_type,canonical_name,domain_name,intent,confidence,matched_patterns,official_registry_id,alignment_decision,created_at
SIL-000129,SPO-000104,filtered_pattern,SP-000663,to the responsible offeror,Uninterpreted Pattern,to the responsible offeror,,Needs Semantic Interpretation Review,0.3,,OPR-000017,new_concept_candidate,2026-06-27 22:40:30
SIL-000130,SPO-000105,filtered_pattern,SP-000664,the responsible offeror whose,Uninterpreted Pattern,the responsible offeror whose,,Needs Semantic Interpretation Review,0.3,,OPR-000017,new_concept_candidate,2026-06-27 22:40:30
SIL-000131,SPO-000106,filtered_pattern,SP-000680,award will be made,Uninterpreted Pattern,award will be made,,Needs Semantic Interpretation Review,0.3,,OPR-000003,new_concept_candidate,2026-06-27 22:40:30
SIL-000132,SPO-000107,filtered_pattern,SP-000681,source selection,Uninterpreted Pattern,source selection,,Needs Semantic Interpretation Review,0.3,,OPR-000008,new_concept_candidate,2026-06-27 22:40:30
SIL-000133,SPO-000108,filtered_pattern,SP-000726,place of performance,Delivery Requirement,Place of Performance,Delivery and Logistics,Delivery Logistics,0.78,place of performance,OPR-000008,weak_alignment_review,2026-06-27 22:40:30
SIL-000134,SPO-000057,filtered_pattern,SP-000733,statement of work,Technical Requirement,Performance Work Statement,Technical Requirements,Technical Requirement,0.78,statement of work,OPR-000006,new_concept_candidate,2026-06-27 22:40:30
SIL-000135,SPO-000109,filtered_pattern,SP-000740,prepared in accordance with,Uninterpreted Pattern,prepared in accordance with,,Needs Semantic Interpretation Review,0.3,,OPR-000012,new_concept_candidate,2026-06-27 22:40:30
SIL-000136,SPO-000110,filtered_pattern,SP-000749,food and drug administration,Uninterpreted Pattern,food and drug administration,,Needs Semantic Interpretation Review,0.3,,OPR-000010,weak_alignment_review,2026-06-27 22:40:30
SIL-000137,SPO-000111,filtered_pattern,SP-000760,request for information rfi,Uninterpreted Pattern,request for information rfi,,Needs Semantic Interpretation Review,0.3,,OPR-000008,new_concept_candidate,2026-06-27 22:40:30
SIL-000138,SPO-000019,filtered_pattern,SP-000761,quote rfq,Acquisition Metadata,Solicitation Metadata,Acquisition Strategy,Acquisition Metadata,0.78,\brfq\b,OPR-000001,new_concept_candidate,2026-06-27 22:40:30
SIL-000139,SPO-000112,filtered_pattern,SP-000809,contract administration,Uninterpreted Pattern,contract administration,,Needs Semantic Interpretation Review,0.3,,OPR-000005,already_represented,2026-06-27 22:40:30
SIL-000140,SPO-000019,filtered_pattern,SP-000822,request for proposal,Acquisition Metadata,Solicitation Metadata,Acquisition Strategy,Acquisition Metadata,0.78,request for proposal,OPR-000010,new_concept_candidate,2026-06-27 22:40:30
SIL-000141,SPO-000113,filtered_pattern,SP-000838,chess army mil proposal,Uninterpreted Pattern,chess army mil proposal,,Needs Semantic Interpretation Review,0.3,,OPR-000010,new_concept_candidate,2026-06-27 22:40:30
SIL-000142,SPO-000114,filtered_pattern,SP-000839,army mil proposal default,Uninterpreted Pattern,army mil proposal default,,Needs Semantic Interpretation Review,0.3,,OPR-000010,weak_alignment_review,2026-06-27 22:40:30
SIL-000143,SPO-000115,filtered_pattern,SP-000840,mil proposal default index,Uninterpreted Pattern,mil proposal default index,,Needs Semantic Interpretation Review,0.3,,OPR-000010,weak_alignment_review,2026-06-27 22:40:30
SIL-000144,SPO-000026,filtered_pattern,SP-000852,quantity unit price,Pricing Structure,Unit Price,Commercial and Pricing,Pricing,0.78,unit price,OPR-000005,new_concept_candidate,2026-06-27 22:40:30
SIL-000145,SPO-000116,filtered_pattern,SP-000868,far and dosar provisions,Uninterpreted Pattern,far and dosar provisions,,Needs Semantic Interpretation Review,0.3,,OPR-000012,weak_alignment_review,2026-06-27 22:40:30
SIL-000146,SPO-000117,filtered_pattern,SP-000879,the format in far,Uninterpreted Pattern,the format in far,,Needs Semantic Interpretation Review,0.3,,OPR-000006,new_concept_candidate,2026-06-27 22:40:30
SIL-000147,SPO-000118,filtered_pattern,SP-000915,renovation cl marine corps,Uninterpreted Pattern,renovation cl marine corps,,Needs Semantic Interpretation Review,0.3,,OPR-000016,new_concept_candidate,2026-06-27 22:40:30
SIL-000148,SPO-000119,filtered_pattern,SP-000916,cl marine corps base,Uninterpreted Pattern,cl marine corps base,,Needs Semantic Interpretation Review,0.3,,OPR-000011,new_concept_candidate,2026-06-27 22:40:30
SIL-000149,SPO-000001,filtered_alias,SA-000007,national cemetery,Domain Specific Requirement,National Cemetery Operations,Domain-Specific Operations,Domain Requirement,0.86,national cemetery;cemetery,OPR-000006,weak_alignment_review,2026-06-27 22:40:30
SIL-000150,SPO-000002,filtered_alias,SA-000011,of solicitation,Uninterpreted Pattern,of solicitation,,Needs Semantic Interpretation Review,0.3,,OPR-000009,weak_alignment_review,2026-06-27 22:40:30
SIL-000151,SPO-000003,filtered_alias,SA-000013,accounting clerk,Uninterpreted Pattern,accounting clerk,,Needs Semantic Interpretation Review,0.3,,OPR-000011,new_concept_candidate,2026-06-27 22:40:30
SIL-000152,SPO-000004,filtered_alias,SA-000014,customer service,Uninterpreted Pattern,customer service,,Needs Semantic Interpretation Review,0.3,,OPR-000006,new_concept_candidate,2026-06-27 22:40:30
SIL-000153,SPO-000005,filtered_alias,SA-000015,service representative,Uninterpreted Pattern,service representative,,Needs Semantic Interpretation Review,0.3,,OPR-000003,new_concept_candidate,2026-06-27 22:40:30
SIL-000154,SPO-000006,filtered_alias,SA-000016,customer service representative,Uninterpreted Pattern,customer service representative,,Needs Semantic Interpretation Review,0.3,,OPR-000006,new_concept_candidate,2026-06-27 22:40:30
SIL-000155,SPO-000007,filtered_alias,SA-000018,amendment of,Uninterpreted Pattern,amendment of,,Needs Semantic Interpretation Review,0.3,,OPR-000022,new_concept_candidate,2026-06-27 22:40:30
SIL-000156,SPO-000008,filtered_alias,SA-000019,amendment of solicitation,Submission Instruction,Solicitation Amendment Acknowledgement,Submission and Proposal Management,Submission Compliance,0.78,amendment of solicitation,OPR-000009,weak_alignment_review,2026-06-27 22:40:30
SIL-000157,SPO-000009,filtered_alias,SA-000024,administered by,Uninterpreted Pattern,administered by,,Needs Semantic Interpretation Review,0.3,,OPR-000005,new_concept_candidate,2026-06-27 22:40:30
SIL-000158,SPO-000010,filtered_alias,SA-000026,interior design,Uninterpreted Pattern,interior design,,Needs Semantic Interpretation Review,0.3,,OPR-000011,new_concept_candidate,2026-06-27 22:40:30
SIL-000159,SPO-000011,filtered_alias,SA-000027,data entry,Uninterpreted Pattern,data entry,,Needs Semantic Interpretation Review,0.3,,OPR-000001,new_concept_candidate,2026-06-27 22:40:30
SIL-000160,SPO-000012,filtered_alias,SA-000037,entry operator,Uninterpreted Pattern,entry operator,,Needs Semantic Interpretation Review,0.3,,OPR-000006,weak_alignment_review,2026-06-27 22:40:30
SIL-000161,SPO-000013,filtered_alias,SA-000038,general clerk,Uninterpreted Pattern,general clerk,,Needs Semantic Interpretation Review,0.3,,OPR-000001,new_concept_candidate,2026-06-27 22:40:30
SIL-000162,SPO-000014,filtered_alias,SA-000039,data entry operator,Uninterpreted Pattern,data entry operator,,Needs Semantic Interpretation Review,0.3,,OPR-000006,weak_alignment_review,2026-06-27 22:40:30
SIL-000163,SPO-000016,filtered_alias,SA-000041,the offeror,Uninterpreted Pattern,the offeror,,Needs Semantic Interpretation Review,0.3,,OPR-000006,new_concept_candidate,2026-06-27 22:40:30
SIL-000164,SPO-000001,filtered_alias,SA-000047,cemetery administration,Domain Specific Requirement,National Cemetery Operations,Domain-Specific Operations,Domain Requirement,0.78,cemetery,OPR-000005,weak_alignment_review,2026-06-27 22:40:30
SIL-000165,SPO-000001,filtered_alias,SA-000048,national cemetery administration,Domain Specific Requirement,National Cemetery Operations,Domain-Specific Operations,Domain Requirement,0.86,national cemetery;cemetery,OPR-000005,weak_alignment_review,2026-06-27 22:40:30
SIL-000166,SPO-000019,filtered_alias,SA-000051,solicitation number,Acquisition Metadata,Solicitation Metadata,Acquisition Strategy,Acquisition Metadata,0.78,solicitation number,OPR-000009,weak_alignment_review,2026-06-27 22:40:30
SIL-000167,SPO-000024,filtered_alias,SA-000061,offerors shall,Uninterpreted Pattern,offerors shall,,Needs Semantic Interpretation Review,0.3,,OPR-000011,new_concept_candidate,2026-06-27 22:40:30
SIL-000168,SPO-000025,filtered_alias,SA-000062,past performance,Evaluation Factor,Evaluation Factors,Evaluation and Source Selection,Evaluation Factor,0.78,past performance,OPR-000008,specialization_candidate,2026-06-27 22:40:30
SIL-000169,SPO-000019,filtered_alias,SA-000063,of solicitation number,Acquisition Metadata,Solicitation Metadata,Acquisition Strategy,Acquisition Metadata,0.78,solicitation number,OPR-000009,weak_alignment_review,2026-06-27 22:40:30
SIL-000170,SPO-000008,filtered_alias,SA-000064,amendment of solicitation number,Submission Instruction,Solicitation Amendment Acknowledgement,Submission and Proposal Management,Submission Compliance,0.86,amendment of solicitation;amendment of solicitation number,OPR-000009,weak_alignment_review,2026-06-27 22:40:30
SIL-000171,SPO-000026,filtered_alias,SA-000073,unit price,Pricing Structure,Unit Price,Commercial and Pricing,Pricing,0.78,unit price,OPR-000004,new_concept_candidate,2026-06-27 22:40:30
SIL-000172,SPO-000025,filtered_alias,SA-000081,evaluation factors,Evaluation Factor,Evaluation Factors,Evaluation and Source Selection,Evaluation Factor,0.78,evaluation factors,OPR-000009,new_concept_candidate,2026-06-27 22:40:30
SIL-000173,SPO-000029,filtered_alias,SA-000085,of solicitation modification,Uninterpreted Pattern,of solicitation modification,,Needs Semantic Interpretation Review,0.3,,OPR-000009,weak_alignment_review,2026-06-27 22:40:30
SIL-000174,SPO-000030,filtered_alias,SA-000086,solicitation modification of,Uninterpreted Pattern,solicitation modification of,,Needs Semantic Interpretation Review,0.3,,OPR-000009,weak_alignment_review,2026-06-27 22:40:30
SIL-000175,SPO-000008,filtered_alias,SA-000088,amendment of solicitation modification,Submission Instruction,Solicitation Amendment Acknowledgement,Submission and Proposal Management,Submission Compliance,0.78,amendment of solicitation,OPR-000009,weak_alignment_review,2026-06-27 22:40:30
SIL-000176,SPO-000031,filtered_alias,SA-000089,of solicitation modification of,Uninterpreted Pattern,of solicitation modification of,,Needs Semantic Interpretation Review,0.3,,OPR-000009,weak_alignment_review,2026-06-27 22:40:30
SIL-000177,SPO-000032,filtered_alias,SA-000090,solicitation modification of contract,Uninterpreted Pattern,solicitation modification of contract,,Needs Semantic Interpretation Review,0.3,,OPR-000009,weak_alignment_review,2026-06-27 22:40:30
SIL-000178,SPO-000033,filtered_alias,SA-000092,contracting officer,Procurement Role,Contracting Officer,Acquisition Strategy,Procurement Role,0.78,contracting officer,OPR-000005,new_concept_candidate,2026-06-27 22:40:30
SIL-000179,SPO-000034,filtered_alias,SA-000096,administered by if,Uninterpreted Pattern,administered by if,,Needs Semantic Interpretation Review,0.3,,OPR-000005,new_concept_candidate,2026-06-27 22:40:30
SIL-000180,SPO-000035,filtered_alias,SA-000100,administered by if other,Uninterpreted Pattern,administered by if other,,Needs Semantic Interpretation Review,0.3,,OPR-000005,new_concept_candidate,2026-06-27 22:40:30
SIL-000181,SPO-000044,filtered_alias,SA-000127,table of contents,Document Structure Object,Table of Contents,Document Structure and Administrative Forms,Document Structure,0.78,table of contents,OPR-000012,new_concept_candidate,2026-06-27 22:40:30
SIL-000182,SPO-000057,filtered_alias,SA-000176,performance work statement,Technical Requirement,Performance Work Statement,Technical Requirements,Technical Requirement,0.86,performance work statement;work statement,OPR-000008,weak_alignment_review,2026-06-27 22:40:30
SIL-000183,SPO-000070,filtered_alias,SA-000280,footnote rate 01000 administrative,Uninterpreted Pattern,footnote rate 01000 administrative,,Needs Semantic Interpretation Review,0.3,,OPR-000005,weak_alignment_review,2026-06-27 22:40:30
SIL-000184,SPO-000071,filtered_alias,SA-000281,rate 01000 administrative support,Uninterpreted Pattern,rate 01000 administrative support,,Needs Semantic Interpretation Review,0.3,,OPR-000005,weak_alignment_review,2026-06-27 22:40:30
SIL-000185,SPO-000072,filtered_alias,SA-000282,01000 administrative support and,Uninterpreted Pattern,01000 administrative support and,,Needs Semantic Interpretation Review,0.3,,OPR-000005,new_concept_candidate,2026-06-27 22:40:30
SIL-000186,SPO-000073,filtered_alias,SA-000283,administrative support and clerical,Uninterpreted Pattern,administrative support and clerical,,Needs Semantic Interpretation Review,0.3,,OPR-000002,new_concept_candidate,2026-06-27 22:40:30
SIL-000187,SPO-000074,filtered_alias,SA-000303,proposal volume,Proposal Structure,Proposal Volume,Submission and Proposal Management,Proposal Structure,0.78,proposal volume,OPR-000019,specialization_candidate,2026-06-27 22:40:30
SIL-000188,SPO-000078,filtered_alias,SA-000326,amendments of solicitations,Uninterpreted Pattern,amendments of solicitations,,Needs Semantic Interpretation Review,0.3,,OPR-000009,new_concept_candidate,2026-06-27 22:40:30
SIL-000189,SPO-000083,filtered_alias,SA-000339,to amendments of solicitations,Uninterpreted Pattern,to amendments of solicitations,,Needs Semantic Interpretation Review,0.3,,OPR-000009,new_concept_candidate,2026-06-27 22:40:30
SIL-000190,SPO-000001,filtered_alias,SA-000411,affairs national cemetery administration,Domain Specific Requirement,National Cemetery Operations,Domain-Specific Operations,Domain Requirement,0.86,national cemetery;cemetery,OPR-000005,weak_alignment_review,2026-06-27 22:40:30
SIL-000191,SPO-000092,filtered_alias,SA-000442,request for information,Uninterpreted Pattern,request for information,,Needs Semantic Interpretation Review,0.3,,OPR-000008,new_concept_candidate,2026-06-27 22:40:30
SIL-000192,SPO-000093,filtered_alias,SA-000499,payment registration,Pricing Structure,Payment and Invoice,Commercial and Pricing,Payment Administration,0.78,payment,OPR-000010,weak_alignment_review,2026-06-27 22:40:30
SIL-000193,SPO-000100,filtered_alias,SA-000561,method of solicitation,Uninterpreted Pattern,method of solicitation,,Needs Semantic Interpretation Review,0.3,,OPR-000009,weak_alignment_review,2026-06-27 22:40:30
SIL-000194,SPO-000033,filtered_alias,SA-000610,the contracting officer,Procurement Role,Contracting Officer,Acquisition Strategy,Procurement Role,0.78,contracting officer,OPR-000005,new_concept_candidate,2026-06-27 22:40:30
SIL-000195,SPO-000008,filtered_alias,SA-000621,pages amendment of solicitation,Submission Instruction,Solicitation Amendment Acknowledgement,Submission and Proposal Management,Submission Compliance,0.78,amendment of solicitation,OPR-000009,new_concept_candidate,2026-06-27 22:40:30
SIL-000196,SPO-000057,filtered_alias,SA-000630,performance work statement pws,Technical Requirement,Performance Work Statement,Technical Requirements,Technical Requirement,0.94,performance work statement;\bpws\b;work statement,OPR-000008,weak_alignment_review,2026-06-27 22:40:30
SIL-000197,SPO-000107,filtered_alias,SA-000681,source selection,Uninterpreted Pattern,source selection,,Needs Semantic Interpretation Review,0.3,,OPR-000008,new_concept_candidate,2026-06-27 22:40:30
SIL-000198,SPO-000108,filtered_alias,SA-000726,place of performance,Delivery Requirement,Place of Performance,Delivery and Logistics,Delivery Logistics,0.78,place of performance,OPR-000008,weak_alignment_review,2026-06-27 22:40:30
SIL-000199,SPO-000057,filtered_alias,SA-000733,statement of work,Technical Requirement,Performance Work Statement,Technical Requirements,Technical Requirement,0.78,statement of work,OPR-000006,new_concept_candidate,2026-06-27 22:40:30
SIL-000200,SPO-000111,filtered_alias,SA-000760,request for information rfi,Uninterpreted Pattern,request for information rfi,,Needs Semantic Interpretation Review,0.3,,OPR-000008,new_concept_candidate,2026-06-27 22:40:30
SIL-000201,SPO-000019,filtered_alias,SA-000821,request for proposal,Acquisition Metadata,Solicitation Metadata,Acquisition Strategy,Acquisition Metadata,0.78,request for proposal,OPR-000010,new_concept_candidate,2026-06-27 22:40:30
SIL-000202,SPO-000026,filtered_alias,SA-000851,quantity unit price,Pricing Structure,Unit Price,Commercial and Pricing,Pricing,0.78,unit price,OPR-000005,new_concept_candidate,2026-06-27 22:40:30
