plu_classification_id,grounded_statement_id,notice_id,opportunity_title,source_file,plu_id,context_family,context_type,canonical_object,downstream_route,matched_pattern,confidence,classification_status,source_statement,created_at
PLUC-000098,GSTMT-000172,38811fa6a48a41e0979b84f46b44b030,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,38811fa6a48a41e0979b84f46b44b030_5.bin,PLU-EVAL-007,Evaluation,Scoring Rating,Scoring Rating,Evaluation Intelligence,good,0.86,classified,"an equitable and open process that serves both industry and the public good, the American National Standards Institute (ANSI, or the “Institute”) accredits standards developing organizations (SDOs) against a set of criteria to assure openness, balance, due process, and consensus in standards development – ANSI’s “Essential Requirements.” The Institute does not develop standards itself;",2026-06-24 22:37:18
PLUC-000099,GSTMT-000174,38811fa6a48a41e0979b84f46b44b030,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,38811fa6a48a41e0979b84f46b44b030_6.bin,PLU-COMP-008,Legal and Compliance,Cybersecurity,Cybersecurity,Risk Intelligence,nist,0.86,classified,Standard Operating Procedure National Cemetery Administration CONTRACTOR SAFETY 1.,2026-06-24 22:37:18
PLUC-000100,GSTMT-000175,38811fa6a48a41e0979b84f46b44b030,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,38811fa6a48a41e0979b84f46b44b030_6.bin,PLU-COMP-008,Legal and Compliance,Cybersecurity,Cybersecurity,Risk Intelligence,nist,0.86,classified,"The National Cemetery (NCA) program will establish procedures and practices that comply with VA policy, NCA policy, and current Occupational Safety and Health Administration (OSHA) Standards in providing a safe work environment for its employees and volunteers.",2026-06-24 22:37:18
PLUC-000101,GSTMT-000178,38811fa6a48a41e0979b84f46b44b030,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,38811fa6a48a41e0979b84f46b44b030_6.bin,PLU-EXCL-002,Exclusion,Non-Procurement Evaluation,Non-Procurement Evaluation,Exclusion Layer,implementation and evaluation of this program,0.86,classified,Facility Directors are responsible for the implementation and evaluation of this program at their facilities.,2026-06-24 22:37:18
PLUC-000102,GSTMT-000179,38811fa6a48a41e0979b84f46b44b030,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,38811fa6a48a41e0979b84f46b44b030_6.bin,PLU-TECH-004,Technical,Product Requirement,Product Requirement,Product Intelligence,equipment,0.86,classified,Facility Directors will ensure that employees are provided the proper equipment and training to protect them from all hazardous conditions in the workplace and comply with OSHA Standards and recognized safe work practices.,2026-06-24 22:37:18
PLUC-000103,GSTMT-000180,38811fa6a48a41e0979b84f46b44b030,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,38811fa6a48a41e0979b84f46b44b030_6.bin,PLU-SUP-003,Supplier Qualification,Certification,Certification,Supplier Capability Intelligence,iso,0.86,classified,Supervisors/Foremen and Collateral Duty Safety Officers (CDSO) will:,2026-06-24 22:37:18
PLUC-000104,GSTMT-000182,38811fa6a48a41e0979b84f46b44b030,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,38811fa6a48a41e0979b84f46b44b030_10.bin,PLU-COMP-008,Legal and Compliance,Cybersecurity,Cybersecurity,Risk Intelligence,nist,0.86,classified,"Cape Canaveral National Cemetery Shrine Project- Grass Renovation FY26 Shrine Project Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation Shrine Project SOW General Information The Department of Veterans Affairs, National Cemetery Administration honors veterans with a final resting place and lasting memorials that commemorate their service to our Nation.",2026-06-24 22:37:18
PLUC-000105,GSTMT-000184,38811fa6a48a41e0979b84f46b44b030,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,38811fa6a48a41e0979b84f46b44b030_10.bin,PLU-TECH-001,Technical,Technical Specification,Technical Specification,Technical Intelligence,specifications,0.86,classified,"For this reason, the contractor’s strict adherence to the specifications shall be required and shall be essential.",2026-06-24 22:37:18
PLUC-000106,GSTMT-000196,38811fa6a48a41e0979b84f46b44b030,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,38811fa6a48a41e0979b84f46b44b030_13.bin,PLU-COMP-008,Legal and Compliance,Cybersecurity,Cybersecurity,Risk Intelligence,nist,0.86,classified,ADMINISTERED BY (If other than Item 6) CODE 36C786 Department of Veterans Affairs Department of Veterans Affairs National Cemetery Administration National Cemetery Administration Contracting Services Contracting Services 18434 Joplin Road 18434 Joplin Road Triangle VA 22172 Triangle VA 22172 8.,2026-06-24 22:37:18
PLUC-000107,GSTMT-000199,38811fa6a48a41e0979b84f46b44b030,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,38811fa6a48a41e0979b84f46b44b030_13.bin,PLU-PROP-006,Proposal,Amendment Acknowledgement,Amendment Acknowledgement,Proposal Compliance,acknowledge.*amendment,0.86,classified,"Offers must acknowledge receipt of this amendment prior to the hour and date specified in the solicitation or as amended, by one of the following methods:",2026-06-24 22:37:18
PLUC-000108,GSTMT-000205,38811fa6a48a41e0979b84f46b44b030,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,38811fa6a48a41e0979b84f46b44b030_15.bin,PLU-COMP-004,Legal and Compliance,Labor Requirement,Labor Requirement,Labor Intelligence,davis-bacon,0.86,classified,EMPLOYEE RIGHTS UNDER THE DAVIS-BACON ACT FOR LABORERS AND MECHANICS EMPLOYED ON FEDERAL OR FEDERALLY ASSISTED CONSTRUCTION PROJECTS PREVAILING You must be paid not less than the wage rate listed in the Davis-Bacon Wage Decision posted with this Notice for the work you perform.,2026-06-24 22:37:18
PLUC-000109,GSTMT-000208,38811fa6a48a41e0979b84f46b44b030,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,38811fa6a48a41e0979b84f46b44b030_15.bin,PLU-SUP-003,Supplier Qualification,Certification,Certification,Supplier Capability Intelligence,iso,0.86,classified,"A contractor who falsifies certified payroll records or induces wage kickbacks may be subject to civil or criminal prosecution, fines and/or imprisonment.",2026-06-24 22:37:18
PLUC-000110,GSTMT-000209,38811fa6a48a41e0979b84f46b44b030,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,38811fa6a48a41e0979b84f46b44b030_15.bin,PLU-COMP-008,Legal and Compliance,Cybersecurity,Cybersecurity,Risk Intelligence,nist,0.86,classified,Kinney Contract Specialist Department of Veterans Affairs National Cemetery Administration Email:,2026-06-24 22:37:18
PLUC-000111,GSTMT-000210,38811fa6a48a41e0979b84f46b44b030,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,38811fa6a48a41e0979b84f46b44b030_16.bin,PLU-SUP-003,Supplier Qualification,Certification,Certification,Supplier Capability Intelligence,certificate of compliance,0.86,classified,VAAR 852.219-75 VA NOTICE OF LIMITATIONS ON SUBCONTRACTING—CERTIFICATE OF COMPLIANCE FOR SERVICES AND CONSTRUCTION (JAN 2023) (DEVIATION) (a) Pursuant to 38 U.S.C.,2026-06-24 22:37:18
PLUC-000112,GSTMT-000211,38811fa6a48a41e0979b84f46b44b030,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,38811fa6a48a41e0979b84f46b44b030_16.bin,PLU-COMP-001,Legal and Compliance,FAR Clause,FAR Clause,Compliance Intelligence,\bfar\b,0.86,classified,"8127(l)(2), the offeror certifies that— (1) If awarded a contract (see FAR 2.101 definition), it will comply with the limitations on subcontracting requirement as provided in the solicitation and the resultant contract, as follows:",2026-06-24 22:37:18
PLUC-000113,GSTMT-000212,38811fa6a48a41e0979b84f46b44b030,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,38811fa6a48a41e0979b84f46b44b030_16.bin,PLU-SUP-003,Supplier Qualification,Certification,Certification,Supplier Capability Intelligence,certification,0.86,classified,"In the case of a contract for services (except construction), the contractor will not pay more than 50% of the amount paid by the government to it to firms that are not certified SDVOSBs listed in the SBA certification database as set forth in 852.219–73 or certified VOSBs listed in the SBA certification database as set forth in 852.219–74.",2026-06-24 22:37:18
PLUC-000114,GSTMT-000213,38811fa6a48a41e0979b84f46b44b030,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,38811fa6a48a41e0979b84f46b44b030_16.bin,PLU-COMP-006,Legal and Compliance,Socioeconomic Requirement,Socioeconomic Requirement,Eligibility Intelligence,small business,0.86,classified,Other direct costs may be excluded to the extent they are not the principal purpose of the acquisition and small business concerns do not provide the service as set forth in 13 CFR 125.6.,2026-06-24 22:37:18
PLUC-000115,GSTMT-000214,38811fa6a48a41e0979b84f46b44b030,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,38811fa6a48a41e0979b84f46b44b030_16.bin,PLU-SUP-003,Supplier Qualification,Certification,Certification,Supplier Capability Intelligence,certification,0.86,classified,"In the case of a contract for general construction, the contractor will not pay more than 85% of the amount paid by the government to it to firms that are not certified SDVOSBs listed in the SBA certification database as set forth in 852.219–73 or certified VOSBs listed in the SBA certification database as set forth in 852.219–74.",2026-06-24 22:37:18
PLUC-000116,GSTMT-000215,3164fcc003e84650b53a7bdb56485b05,"USAG DHR, Fort Bragg ID Card Services",3164fcc003e84650b53a7bdb56485b05_1.bin,PLU-ADM-001,Delivery and Administration,Deliverable,Deliverable,Delivery Intelligence,report,0.86,classified,"This is a non-personnel services contract to provide Defense Enrollment and Eligibility Reporting System (DEERS)/ Real Time Automated Personnel Identification System (RAPIDS) Common Access Card (CAC) support services for the Installation Management Command (IMCOM) at Fort Bragg, North Carolina.",2026-06-24 22:37:18
PLUC-000117,GSTMT-000216,3164fcc003e84650b53a7bdb56485b05,"USAG DHR, Fort Bragg ID Card Services",3164fcc003e84650b53a7bdb56485b05_1.bin,PLU-ADM-001,Delivery and Administration,Deliverable,Deliverable,Delivery Intelligence,report,0.86,classified,"This is a non-personnel services contract to provide Defense Enrollment and Eligibility Reporting System (DEERS)/ Real Time Automated Personnel Identification System (RAPIDS) Common Access Card (CAC) support services for the Installation Management Command (IMCOM) at Fort Bragg, North Carolina.",2026-06-24 22:37:18
PLUC-000118,GSTMT-000219,3164fcc003e84650b53a7bdb56485b05,"USAG DHR, Fort Bragg ID Card Services",3164fcc003e84650b53a7bdb56485b05_1.bin,PLU-TECH-004,Technical,Product Requirement,Product Requirement,Product Intelligence,materials?,0.86,classified,"The Contractor shall provide all personnel, equipment, supplies, facilities, transportation, tools, materials, supervision, and other items and non-personal services necessary to perform the verification and issuance of military identification (USID) and CAC cards for active duty military, Reserve and National Guard members, military retirees, family members, Department of Defense (DoD) civilians and other eligible recipients, as defined in this PWS, except for those items specified as government furnished property and services.",2026-06-24 22:37:18
PLUC-000119,GSTMT-000220,3164fcc003e84650b53a7bdb56485b05,"USAG DHR, Fort Bragg ID Card Services",3164fcc003e84650b53a7bdb56485b05_3.bin,PLU-ADM-003,Delivery and Administration,Schedule,Schedule,Schedule Intelligence,schedule,0.86,classified,METHOD OF SOLICITATION REQUEST UNLESS BLOCK IS MARKED THE DEFENSE PRIORITIES REQUEST INVITATION FOR AND ALLOCATIONS FOR QUOTE FOR BID PROPOSAL SEE SCHEDULE SYSTEM - DPAS (15 CFR 700) (RFQ) (IFB) (RFP) 15.,2026-06-24 22:37:18
PLUC-000120,GSTMT-000221,3164fcc003e84650b53a7bdb56485b05,"USAG DHR, Fort Bragg ID Card Services",3164fcc003e84650b53a7bdb56485b05_3.bin,PLU-COM-007,Commercial,Payment Terms,Payment Terms,Contract Administration,invoice,0.86,classified,SUBMIT INVOICES TO ADDRESS SHOWN IN BLOCK 18a UNLESS BLOCK OFFER BELOW IS CHECKED SEE ADDENDUM 19.,2026-06-24 22:37:18
PLUC-000121,GSTMT-000222,3164fcc003e84650b53a7bdb56485b05,"USAG DHR, Fort Bragg ID Card Services",3164fcc003e84650b53a7bdb56485b05_3.bin,PLU-COM-004,Commercial,Unit Price,Unit Price,Pricing Intelligence,unit price,0.86,classified,ITEM NUMBER SCHEDULE OF SUPPLIES/SERVICES QUANTITY UNIT UNIT PRICE AMOUNT (Use Reverse and/or Attach Additional Shee,2026-06-24 22:37:18
PLUC-000122,GSTMT-000223,3164fcc003e84650b53a7bdb56485b05,"USAG DHR, Fort Bragg ID Card Services",3164fcc003e84650b53a7bdb56485b05_3.bin,PLU-COM-004,Commercial,Unit Price,Unit Price,Pricing Intelligence,unit price,0.86,classified,ITEM NUMBER SCHEDULE OF SUPPLIES/SERVICES QUANTITY UNIT UNIT PRICE AMOUNT (Use Reverse and/or Attach Additional Shee,2026-06-24 22:37:18
PLUC-000123,GSTMT-000225,3164fcc003e84650b53a7bdb56485b05,"USAG DHR, Fort Bragg ID Card Services",3164fcc003e84650b53a7bdb56485b05_4.bin,PLU-COMP-008,Legal and Compliance,Cybersecurity,Cybersecurity,Risk Intelligence,nist,0.86,classified,ADMINISTERED BY (If other than Item 6) CODE 8.,2026-06-24 22:37:18
PLUC-000124,GSTMT-000228,3164fcc003e84650b53a7bdb56485b05,"USAG DHR, Fort Bragg ID Card Services",3164fcc003e84650b53a7bdb56485b05_4.bin,PLU-PROP-006,Proposal,Amendment Acknowledgement,Amendment Acknowledgement,Proposal Compliance,acknowledge.*amendment,0.86,classified,"Offers must acknowledge receipt of this amendment prior to the hour and date specified in the solicitation or as amended, by one of the following methods:",2026-06-24 22:37:18
PLUC-000125,GSTMT-000233,09ce44adca35468fb46ab77206c9afb7,6515--NetApp,09ce44adca35468fb46ab77206c9afb7_1.bin,PLU-COMP-008,Legal and Compliance,Cybersecurity,Cybersecurity,Risk Intelligence,nist,0.86,classified,ADMINISTERED BY CODE 36C262 Department of Veterans Affairs Department of Veterans Affairs Long Beach VA Healthcare System Network Contracting Office 22 Tibor Rubin Medical Center 4811 Airport Plaza Drive 5901 E.,2026-06-24 22:37:18
PLUC-000126,GSTMT-000235,09ce44adca35468fb46ab77206c9afb7,6515--NetApp,09ce44adca35468fb46ab77206c9afb7_2.bin,PLU-COM-003,Commercial,Price Schedule,Price Schedule,Pricing Intelligence,\bclin\b,0.86,classified,GENERAL INFORMATION PLACE OF PERFORMANCE ADDITIONAL INFORMATION DESCRIPTION Amendment to change quantity on Clin #15 from 48 to 64 Amendment to include RFQ answers Question 1 -0015 (UCS-DDR5-BLK):,2026-06-24 22:37:18
PLUC-000127,GSTMT-000236,09ce44adca35468fb46ab77206c9afb7,6515--NetApp,09ce44adca35468fb46ab77206c9afb7_2.bin,PLU-COM-003,Commercial,Price Schedule,Price Schedule,Pricing Intelligence,\bclin\b,0.86,classified,GENERAL INFORMATION PLACE OF PERFORMANCE ADDITIONAL INFORMATION DESCRIPTION Amendment to change quantity on Clin #15 from 48 to 64 Amendment to include RFQ answers Question 1 -0015 (UCS-DDR5-BLK):,2026-06-24 22:37:18
PLUC-000128,GSTMT-000237,09ce44adca35468fb46ab77206c9afb7,6515--NetApp,09ce44adca35468fb46ab77206c9afb7_2.bin,PLU-ADM-003,Delivery and Administration,Schedule,Schedule,Schedule Intelligence,schedule,0.86,classified,"Section B.3 (Price/Cost Schedule, page 8) lists a quantity of 48 units for the same item.",2026-06-24 22:37:18
PLUC-000129,GSTMT-000238,09ce44adca35468fb46ab77206c9afb7,6515--NetApp,09ce44adca35468fb46ab77206c9afb7_2.bin,PLU-ADM-003,Delivery and Administration,Schedule,Schedule,Schedule Intelligence,schedule,0.86,classified,Please confirm which quantity governs for quoting and contract performance—64 per the SOW or 48 per the Price/Cost Schedule—and issue an amendment or written clarification before the offer due date.,2026-06-24 22:37:18
PLUC-000130,GSTMT-000239,09ce44adca35468fb46ab77206c9afb7,6515--NetApp,09ce44adca35468fb46ab77206c9afb7_2.bin,PLU-ADM-003,Delivery and Administration,Schedule,Schedule,Schedule Intelligence,schedule,0.86,classified,Please confirm which quantity governs for quoting and contract performance—64 per the SOW or 48 per the Price/Cost Schedule—and issue an amendment or written clarification before the offer due date.,2026-06-24 22:37:18
PLUC-000131,GSTMT-000240,09ce44adca35468fb46ab77206c9afb7,6515--NetApp,09ce44adca35468fb46ab77206c9afb7_2.bin,PLU-COM-003,Commercial,Price Schedule,Price Schedule,Pricing Intelligence,line item,0.86,classified,"Subscription Pricing Structure Line item 0003, DC-MGT-IS-SAAS-ES (Infrastructure Services SaaS/CVA – Essentials), is a Cisco subscription-based product priced on an annual term basis rather than as a one-time purchase.",2026-06-24 22:37:18
PLUC-000132,GSTMT-000242,09ce44adca35468fb46ab77206c9afb7,6515--NetApp,09ce44adca35468fb46ab77206c9afb7_2.bin,PLU-COM-003,Commercial,Price Schedule,Price Schedule,Pricing Intelligence,line item,0.86,classified,Please confirm the intended contract duration for this subscription line item so all offerors may price it accurately and consistently.,2026-06-24 22:37:18
PLUC-000133,GSTMT-000243,09ce44adca35468fb46ab77206c9afb7,6515--NetApp,09ce44adca35468fb46ab77206c9afb7_2.bin,PLU-PROP-003,Proposal,Submission Instruction,Submission Instruction,Proposal Intelligence,offerors.*submit,0.86,classified,Question 3 — OEM Authorization Letter Requirements Section E.2.5 requires offerors to submit an OEM authorization letter dated no more than 90 days,2026-06-24 22:37:18
PLUC-000134,GSTMT-000244,09ce44adca35468fb46ab77206c9afb7,6515--NetApp,09ce44adca35468fb46ab77206c9afb7_3.bin,PLU-COMP-008,Legal and Compliance,Cybersecurity,Cybersecurity,Risk Intelligence,nist,0.86,classified,ADMINISTERED BY CODE 36C262 Department of Veterans Affairs Department of Veterans Affairs Long Beach VA Healthcare System Network Contracting Office 22 Tibor Rubin Medical Center 4811 Airport Plaza Drive 5901 E.,2026-06-24 22:37:18
PLUC-000135,GSTMT-000245,09ce44adca35468fb46ab77206c9afb7,6515--NetApp,09ce44adca35468fb46ab77206c9afb7_4.bin,PLU-COMP-008,Legal and Compliance,Cybersecurity,Cybersecurity,Risk Intelligence,nist,0.86,classified,GENERAL INFORMATION PLACE OF PERFORMANCE ADDITIONAL INFORMATION DESCRIPTION SECTION B - CONTINUATION OF SF 1449 BLOCKS B.1 CONTRACT ADMINISTRATION DATA 1.,2026-06-24 22:37:18
PLUC-000136,GSTMT-000246,09ce44adca35468fb46ab77206c9afb7,6515--NetApp,09ce44adca35468fb46ab77206c9afb7_4.bin,PLU-COMP-008,Legal and Compliance,Cybersecurity,Cybersecurity,Risk Intelligence,nist,0.86,classified,GENERAL INFORMATION PLACE OF PERFORMANCE ADDITIONAL INFORMATION DESCRIPTION SECTION B - CONTINUATION OF SF 1449 BLOCKS B.1 CONTRACT ADMINISTRATION DATA 1.,2026-06-24 22:37:18
PLUC-000137,GSTMT-000247,09ce44adca35468fb46ab77206c9afb7,6515--NetApp,09ce44adca35468fb46ab77206c9afb7_4.bin,PLU-COMP-008,Legal and Compliance,Cybersecurity,Cybersecurity,Risk Intelligence,nist,0.86,classified,All contract administration matters will be handled by the following individuals:,2026-06-24 22:37:18
PLUC-000138,GSTMT-000248,09ce44adca35468fb46ab77206c9afb7,6515--NetApp,09ce44adca35468fb46ab77206c9afb7_4.bin,PLU-COM-007,Commercial,Payment Terms,Payment Terms,Contract Administration,invoice,0.86,classified,Invoices shall be submitted in arrears:,2026-06-24 22:37:18
PLUC-000139,GSTMT-000249,09ce44adca35468fb46ab77206c9afb7,6515--NetApp,09ce44adca35468fb46ab77206c9afb7_4.bin,PLU-COM-007,Commercial,Payment Terms,Payment Terms,Contract Administration,invoice,0.86,classified,All Invoices from the contractor shall be submitted electronically in accordance with VAAR Clause 852.232-72 Electronic Submission of Payment Requests.,2026-06-24 22:37:18
PLUC-000140,GSTMT-000250,09ce44adca35468fb46ab77206c9afb7,6515--NetApp,09ce44adca35468fb46ab77206c9afb7_4.bin,PLU-PROP-006,Proposal,Amendment Acknowledgement,Amendment Acknowledgement,Proposal Compliance,acknowledge.*amendment,0.86,classified,The offeror acknowledges receipt of amendments to the Solicitation numbered and dated as follows:,2026-06-24 22:37:18
PLUC-000141,GSTMT-000253,f33e54c1c9644aa8bb2eb283b82a85ad,31 CES n. 25 military gear lockers.,f33e54c1c9644aa8bb2eb283b82a85ad_1.bin,PLU-COMP-008,Legal and Compliance,Cybersecurity,Cybersecurity,Risk Intelligence,nist,0.86,classified,"ADMINISTERED BY (if other than Item CODE 6) FA5682 31 CONS DA LGC UNIT 6102 BOX 140, APO AE 09604-6102 APO, AE 09604-6102 SCD:",2026-06-24 22:37:18
PLUC-000142,GSTMT-000256,f33e54c1c9644aa8bb2eb283b82a85ad,31 CES n. 25 military gear lockers.,f33e54c1c9644aa8bb2eb283b82a85ad_1.bin,PLU-PROP-006,Proposal,Amendment Acknowledgement,Amendment Acknowledgement,Proposal Compliance,acknowledge.*amendment,0.86,classified,"Offers must acknowledge receipt of this amendment prior to the hour and date specified in the solicitation or as amended, by one of the following methods:",2026-06-24 22:37:18
PLUC-000143,GSTMT-000260,f33e54c1c9644aa8bb2eb283b82a85ad,31 CES n. 25 military gear lockers.,f33e54c1c9644aa8bb2eb283b82a85ad_2.bin,PLU-ADM-003,Delivery and Administration,Schedule,Schedule,Schedule Intelligence,schedule,0.86,classified,METHOD OF SOLICITATION UNLESS BLOCK IS MARKED THE DEFENSE PRIORITIES REQUEST FOR INVITATION REQUEST FOR SEE SCHEDULE AND ALLOCATIONS QUOTE (RFQ) FOR BID (IFB) PROPOSAL (RFP) SYSTEM-DPAS (15 CFR 700) 15.,2026-06-24 22:37:18
PLUC-000144,GSTMT-000262,f33e54c1c9644aa8bb2eb283b82a85ad,31 CES n. 25 military gear lockers.,f33e54c1c9644aa8bb2eb283b82a85ad_3.bin,PLU-COMP-008,Legal and Compliance,Cybersecurity,Cybersecurity,Risk Intelligence,nist,0.86,classified,"ADMINISTERED BY (if other than Item CODE 6) FA5682 31 CONS DA LGC UNIT 6102 BOX 140, APO AE 09604-6102 APO, AE 09604-6102 SCD:",2026-06-24 22:37:18
PLUC-000145,GSTMT-000265,f33e54c1c9644aa8bb2eb283b82a85ad,31 CES n. 25 military gear lockers.,f33e54c1c9644aa8bb2eb283b82a85ad_3.bin,PLU-PROP-006,Proposal,Amendment Acknowledgement,Amendment Acknowledgement,Proposal Compliance,acknowledge.*amendment,0.86,classified,"Offers must acknowledge receipt of this amendment prior to the hour and date specified in the solicitation or as amended, by one of the following methods:",2026-06-24 22:37:18
PLUC-000146,GSTMT-000271,f33e54c1c9644aa8bb2eb283b82a85ad,31 CES n. 25 military gear lockers.,f33e54c1c9644aa8bb2eb283b82a85ad_5.bin,PLU-EVAL-007,Evaluation,Scoring Rating,Scoring Rating,Evaluation Intelligence,acceptable,0.86,classified,"Looking at the questions and answers loaded toady, Please also advise that as per the Salient+Characteristics attachment The units will be a minimum 42” wide, 24” deep and 78” tall, are other dimensions also acceptable?",2026-06-24 22:37:18
PLUC-000147,GSTMT-000275,f33e54c1c9644aa8bb2eb283b82a85ad,31 CES n. 25 military gear lockers.,f33e54c1c9644aa8bb2eb283b82a85ad_6.bin,PLU-COMP-001,Legal and Compliance,FAR Clause,FAR Clause,Compliance Intelligence,\bfar\b,0.86,classified,"As far as I can see, you have not included an installation line on the solicitation.",2026-06-24 22:37:18
PLUC-000148,GSTMT-000276,f33e54c1c9644aa8bb2eb283b82a85ad,31 CES n. 25 military gear lockers.,f33e54c1c9644aa8bb2eb283b82a85ad_6.bin,PLU-ADM-001,Delivery and Administration,Deliverable,Deliverable,Delivery Intelligence,plan,0.86,classified,Are you planning to use non manufacturer trained personnel to build and install them?,2026-06-24 22:37:18
PLUC-000149,GSTMT-000281,f29a122869e64fa19982e9655482f397,Hex Jam Nuts,f29a122869e64fa19982e9655482f397_1.bin,PLU-TECH-001,Technical,Technical Specification,Technical Specification,Technical Intelligence,specifications,0.86,classified,SECURITY AGREEMENT FOR PROTECTION OF NAVAL NUCLEAR PROPULSION INFORMATION The undersigned acknowledges that he/she will be provided specifications or documents as part of SPMYM326Q1134/SPMYM326P1134 which are marked as containing sensitive information which is controlled pursuant to federal law.,2026-06-24 22:37:18
PLUC-000150,GSTMT-000282,f29a122869e64fa19982e9655482f397,Hex Jam Nuts,f29a122869e64fa19982e9655482f397_1.bin,PLU-TECH-001,Technical,Technical Specification,Technical Specification,Technical Intelligence,specifications,0.86,classified,"These specifications and documents and the information contained therein, shall be used only for the purpose of preparing quotations or processing orders, and shall in no case be transmitted outside the company or to any foreign national within the company.",2026-06-24 22:37:18
PLUC-000151,GSTMT-000283,f29a122869e64fa19982e9655482f397,Hex Jam Nuts,f29a122869e64fa19982e9655482f397_1.bin,PLU-TECH-001,Technical,Technical Specification,Technical Specification,Technical Intelligence,specifications,0.86,classified,"While in use, the specifications shall be maintained under surveillance and shall be kept secure, so as to preclude access by any persons who do not have a legitimate need to view them.",2026-06-24 22:37:18
PLUC-000152,GSTMT-000284,f29a122869e64fa19982e9655482f397,Hex Jam Nuts,f29a122869e64fa19982e9655482f397_1.bin,PLU-TECH-001,Technical,Technical Specification,Technical Specification,Technical Intelligence,specifications,0.86,classified,"The specifications and documents shall not be copied, and unless otherwise permitted by the Contracting Officer, shall be returned in their entirety to the Portsmouth Naval Shipyard upon completion of the contract.",2026-06-24 22:37:18
PLUC-000153,GSTMT-000285,f29a122869e64fa19982e9655482f397,Hex Jam Nuts,f29a122869e64fa19982e9655482f397_2.bin,PLU-COM-001,Commercial,Pricing Structure,Pricing Structure,Pricing Intelligence,delivered prices,0.86,classified,REQUEST FOR QUOTATION SPMYM326Q1134 ** THIS IS NOT AN ORDER ** PLEASE PROVIDE DELIVERED PRICES (FOB DESTINATION) REFERENCE/PR:,2026-06-24 22:37:18
PLUC-000154,GSTMT-000288,f29a122869e64fa19982e9655482f397,Hex Jam Nuts,f29a122869e64fa19982e9655482f397_2.bin,PLU-SUP-008,Supplier Qualification,Registration,Registration,Eligibility Intelligence,\bsam\b,0.86,classified,"DLA-KME-QUOTATIONS@DLA.MIL *** PLEASE FILL OUT THIS FORM COMPLETELY*** ** In accordance with FAR 52.204-7(b)(1), an Offeror is required to be registered in SAM when submitting an offer or quotation, and must be listed as active, to prevent unduly delaying award.",2026-06-24 22:37:18
PLUC-000155,GSTMT-000290,f29a122869e64fa19982e9655482f397,Hex Jam Nuts,f29a122869e64fa19982e9655482f397_2.bin,PLU-COM-001,Commercial,Pricing Structure,Pricing Structure,Pricing Intelligence,price list,0.86,classified,PRICE LISTING/GSA Is this a PRICE LISTED item?,2026-06-24 22:37:18
PLUC-000156,GSTMT-000291,f29a122869e64fa19982e9655482f397,Hex Jam Nuts,f29a122869e64fa19982e9655482f397_2.bin,PLU-COM-001,Commercial,Pricing Structure,Pricing Structure,Pricing Intelligence,price list,0.86,classified,"If Yes, include copy of price list with your quote.",2026-06-24 22:37:18
PLUC-000157,GSTMT-000292,f29a122869e64fa19982e9655482f397,Hex Jam Nuts,f29a122869e64fa19982e9655482f397_2.bin,PLU-COM-001,Commercial,Pricing Structure,Pricing Structure,Pricing Intelligence,price list,0.86,classified,"If Yes, include copy of price list with your quote.",2026-06-24 22:37:18
PLUC-000158,GSTMT-000294,f29a122869e64fa19982e9655482f397,Hex Jam Nuts,f29a122869e64fa19982e9655482f397_3.bin,PLU-TECH-004,Technical,Product Requirement,Product Requirement,Product Intelligence,equipment,0.86,classified,"FAR CLAUSES 52.204-26 Covered Telecommunications Equipment Or Services-Representation (OCT 2020) {if available in SAM reps and certs, duplication may not be required} (a) Definitions.",2026-06-24 22:37:18
