structured_requirement_id,grounded_statement_id,notice_id,opportunity_title,source_file,source_object_type,actor,action,artifact_type,artifact,quantity,condition,mandatory_flag,requirement_statement,structure_confidence
SREQ-000078,GSTMT-000123,5f4071db397f4714a047d288a033de87,6515--Dental Panoramic Machine,5f4071db397f4714a047d288a033de87_1.bin,general_requirement_statement,contractor,submit,,,,"If the contractor can provide the above-mentioned product, the contractor SHALL submit product information for evaluation",yes,"If the contractor can provide the above-mentioned product, the contractor SHALL submit product information for evaluation.",0.85
SREQ-000079,GSTMT-000124,5f4071db397f4714a047d288a033de87,6515--Dental Panoramic Machine,5f4071db397f4714a047d288a033de87_1.bin,general_requirement_statement,contractor,provide,,,,"If the contractor can provide the above items, the contractor SHALL provide a letter from the manufacturer stating they are",yes,"If the contractor can provide the above items, the contractor SHALL provide a letter from the manufacturer stating they are an authorized distributor/licenser of their products.",0.85
SREQ-000080,GSTMT-000125,5f4071db397f4714a047d288a033de87,6515--Dental Panoramic Machine,5f4071db397f4714a047d288a033de87_1.bin,general_requirement_statement,,submit,proposal_volume,offer,,,yes,Failure to submit an authorized distributor letter shall result in the product(s) potentially offered to be considered “grey market”.,0.85
SREQ-000081,GSTMT-000126,441459c8d2a34c49a903966dc6678ca5,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,441459c8d2a34c49a903966dc6678ca5_1.bin,certification_requirement,,,certification_or_standard,nist,,,unknown,National Cemetery Administration (NCA) Black Hills National Cemetery (BHNC) STATEMENT OF NEED Requirement of Aggregate Materials GENERAL INFORMATION Title of Project:,0.55
SREQ-000082,GSTMT-000128,441459c8d2a34c49a903966dc6678ca5,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,441459c8d2a34c49a903966dc6678ca5_1.bin,general_requirement_statement,vendor,provide,,,,,yes,The vendor shall provide material only when requested by the cemetery Contracting Officer Representative (COR).,0.85
SREQ-000083,GSTMT-000132,441459c8d2a34c49a903966dc6678ca5,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,441459c8d2a34c49a903966dc6678ca5_1.bin,general_requirement_statement,vendor,provide,,,,,yes,The Vendor shall provide the following material upon request by the COR:,0.85
SREQ-000084,GSTMT-000133,441459c8d2a34c49a903966dc6678ca5,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,441459c8d2a34c49a903966dc6678ca5_1.bin,general_requirement_statement,,provide,,,,,unknown,Description Unit Max Qty 0001 Provide ¾” Road Base Gravel (1 qty = 1 ton) Each 90 0002 Provide Crushed Fines (1 qty = 1 ton) Each 90 0003 Provide 3/8” Clean Gravel Chips (1 qty = 1 ton) Each 180 0004 Provide Concrete Sand (1 qty = 1 ton) Each 120 0005 Provide Screened Topsoil (1 qty = 1 ton) Each 75 0006 Provide Fill Dirt (1 qty = 1 ton) Each 75 FOB:,0.6
SREQ-000085,GSTMT-000134,441459c8d2a34c49a903966dc6678ca5,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,441459c8d2a34c49a903966dc6678ca5_1.bin,general_requirement_statement,contractor,deliver,,,,,yes,"Destination The contractor shall deliver to Black Hills National Cemetery located at 20901 Pleasant Valley Drive, Sturgis, SD 57785 the following:",0.85
SREQ-000086,GSTMT-000135,441459c8d2a34c49a903966dc6678ca5,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,441459c8d2a34c49a903966dc6678ca5_4.bin,general_requirement_statement,contractor,identify,,,,,yes,"Contractor must identify previous federal, state, local government and or private contracts completed that are comparable in size, complexity and scope to the contract being evaluated.",0.85
SREQ-000087,GSTMT-000137,441459c8d2a34c49a903966dc6678ca5,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,441459c8d2a34c49a903966dc6678ca5_4.bin,certification_requirement,,,certification_or_standard,nist,,,unknown,List any National Cemetery Administration (NCA) contracts currently working or previously worked first followed by Non-NCA contracts.,0.55
SREQ-000088,GSTMT-000138,441459c8d2a34c49a903966dc6678ca5,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,441459c8d2a34c49a903966dc6678ca5_4.bin,experience_requirement,contractor,provide,proposal_volume,past performance,,if not completed provide status) Type/Extent of Subcontracting Percentage of Work completed by the Contractor Description o,unknown,"Past Performance Questionnaire Contract Number Contractor ( Name Address, Zip Code) Telephone Number Email Address Type of Contract Contract Dollar Value Date of Award (if not completed provide status) Type/Extent of Subcontracting Percentage of Work completed by the Contractor Description of Supply/Services provided, location & relevancy of work Address, Telephone Number & Email of the Contact Person and Position",0.9
SREQ-000089,GSTMT-000140,441459c8d2a34c49a903966dc6678ca5,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,441459c8d2a34c49a903966dc6678ca5_5.bin,staffing_requirement,contractor,,staffing_or_personnel,personnel,,,yes,"DIGNITY CLAUSE Respect for Headstones and Markers in National Cemeteries Handling of Markers and Headstones Every action by contractor personnel at a national cemetery must be performed with the special care, reverence, dignity, and respect that acknowledges the cemetery as the final resting place that commemorates the service and sacrifice that service members, Veterans and their families made for our Nation.",0.8
SREQ-000090,GSTMT-000146,441459c8d2a34c49a903966dc6678ca5,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,441459c8d2a34c49a903966dc6678ca5_6.bin,certification_requirement,,,certification_or_standard,nist,,,unknown,"Department of Veterans Affairs National Cemetery Administration, Contract Services 18434 Joplin Road Triangle, VA 22172 Place of Performance:",0.55
SREQ-000091,GSTMT-000147,441459c8d2a34c49a903966dc6678ca5,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,441459c8d2a34c49a903966dc6678ca5_6.bin,procurement_artifact,,,process_artifact,attachment,,,unknown,"Black Hills National Cemetery 20901 Pleasant Valley Dr, Sturgis, SD 57785 Attachments:",0.55
SREQ-000092,GSTMT-000148,441459c8d2a34c49a903966dc6678ca5,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,441459c8d2a34c49a903966dc6678ca5_6.bin,experience_requirement,,,proposal_volume,past performance,,in accordance with the format in Subpart 12,unknown,"A - Statement of work B - Cemetery Operational Standards C – Dignity Clause D- Past Performance Questionnaire E- Pricing Schedule (Excel) This is a combined synopsis/solicitation for commercial services prepared in accordance with the format in Subpart 12.6, as supplemented with additional information included in this notice.",0.55
SREQ-000093,GSTMT-000151,441459c8d2a34c49a903966dc6678ca5,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,441459c8d2a34c49a903966dc6678ca5_6.bin,proposal_instruction,,,proposal_volume,quote,,,unknown,"quotes are being requested, and a written solicitation will not be issued.",0.55
SREQ-000094,GSTMT-000152,441459c8d2a34c49a903966dc6678ca5,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,441459c8d2a34c49a903966dc6678ca5_6.bin,general_requirement_statement,contractor,,process_artifact,solicitation,,in accordance with the guidance in this solicitation,unknown,Contractor is responsible for submitting their package in accordance with the guidance in this solicitation.,0.7
SREQ-000095,GSTMT-000153,441459c8d2a34c49a903966dc6678ca5,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,441459c8d2a34c49a903966dc6678ca5_6.bin,proposal_instruction,,,process_artifact,solicitation,,,yes,Failure to follow the document format or the solicitation guidelines will render the submission,0.65
SREQ-000096,GSTMT-000154,3b8ae850899e4ab298f3c2bff29ef889,Notice of Intent to Sole Source- Investigative Services  Houston Police Deparment,3b8ae850899e4ab298f3c2bff29ef889_1.bin,certification_requirement,,,certification_or_standard,nist,,,unknown,Notice of Intent #FDA-SS-26-06202026 The Food and Drug Administration intends to make sole source awards to the following:,0.55
SREQ-000097,GSTMT-000155,3b8ae850899e4ab298f3c2bff29ef889,Notice of Intent to Sole Source- Investigative Services  Houston Police Deparment,3b8ae850899e4ab298f3c2bff29ef889_1.bin,proposal_instruction,,,process_artifact,solicitation,,,unknown,This notice of intent is not a solicitation for competitive proposals.,0.55
SREQ-000098,GSTMT-000156,3b8ae850899e4ab298f3c2bff29ef889,Notice of Intent to Sole Source- Investigative Services  Houston Police Deparment,3b8ae850899e4ab298f3c2bff29ef889_1.bin,proposal_instruction,,submit,,,7 days,within 7 days to the individual listed,yes,Any other firms desiring consideration must fully identify their interest and capability to provide this service or submit a proposal within 7 days to the individual listed.,0.7
SREQ-000099,GSTMT-000159,3986c6c299c04c119ed7d79cb2b5cef5,Request for Information: FDA IT Infrastructure Services,3986c6c299c04c119ed7d79cb2b5cef5_1.bin,certification_requirement,,,certification_or_standard,nist,,,unknown,Food and Drug Administration REQUIRING OFFICES:,0.5
SREQ-000100,GSTMT-000160,3986c6c299c04c119ed7d79cb2b5cef5,Request for Information: FDA IT Infrastructure Services,3986c6c299c04c119ed7d79cb2b5cef5_1.bin,certification_requirement,,,certification_or_standard,nist,,,unknown,"Food and Drug Administration (FDA) is issuing this Request for Information (RFI) as a means of conducting market research, pursuant to FAR Part 10 Market Research.",0.55
SREQ-000101,GSTMT-000161,3986c6c299c04c119ed7d79cb2b5cef5,Request for Information: FDA IT Infrastructure Services,3986c6c299c04c119ed7d79cb2b5cef5_1.bin,proposal_instruction,government,award,proposal_volume,quote,,,unknown,"This is a REQUEST FOR INFORMATION (RFI) ONLY, not a Request for Quote (RFQ) and does not commit the Government to award a contract now or in the future.",0.9
SREQ-000102,GSTMT-000164,38811fa6a48a41e0979b84f46b44b030,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,38811fa6a48a41e0979b84f46b44b030_1.bin,evaluation_factor,,,pricing,unit price,,in accordance with the attached Statement of Work Contract Period,unknown,36C78626B0017 Section B SECTION B - SUPPLIES OR SERVICES AND PRICE/COSTS B.1 PRICE SCHEDULE ITEM INFORMATION ITEM DESCRIPTION OF NUMBER SUPPLIES/SERVICES QUANTITY UNIT UNIT PRICE AMOUNT 0001 1 JB __________________ __________________ Remove/Renovate/Replace Ornamental Grass and Irrigation in accordance with the attached Statement of Work Contract Period:,0.55
SREQ-000103,GSTMT-000166,38811fa6a48a41e0979b84f46b44b030,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,38811fa6a48a41e0979b84f46b44b030_2.bin,general_requirement_statement,offeror,award,proposal_volume,offer,,,yes,"DATE ISSUED PAGE OF PAGES SOLICITATION, OFFER, AND AWARD X SEALED BID (IFB) 1 73 05/01/2026 (Construction, Alteration, or Repair) 36C78626B0017 NEGOTIATED (RFP) IMPORTANT - The ""offer"" section on the reverse must be fully completed by offeror.",0.95
SREQ-000104,GSTMT-000167,38811fa6a48a41e0979b84f46b44b030,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,38811fa6a48a41e0979b84f46b44b030_2.bin,certification_requirement,,,proposal_volume,offer,,,unknown,ADDRESS OFFER TO Department of Veterans Affairs Daniel.kinney@va.gov National Cemetery Administration Contracting Services 18434 Joplin Road Triangle VA 22172 9.,0.55
SREQ-000105,GSTMT-000168,38811fa6a48a41e0979b84f46b44b030,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,38811fa6a48a41e0979b84f46b44b030_2.bin,general_requirement_statement,,include,,,,,unknown,TELEPHONE NUMBER (Include area code) (NO COLLECT CALLS) CALL:,0.6
SREQ-000106,GSTMT-000173,38811fa6a48a41e0979b84f46b44b030,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,38811fa6a48a41e0979b84f46b44b030_5.bin,general_requirement_statement,,submit,,,,,optional_or_conditional,"rather, ANSI-accredited SDOs may submit their documents for approval as American National Standards (ANS).",0.7
SREQ-000107,GSTMT-000174,38811fa6a48a41e0979b84f46b44b030,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,38811fa6a48a41e0979b84f46b44b030_6.bin,certification_requirement,contractor,,certification_or_standard,nist,,,unknown,Standard Operating Procedure National Cemetery Administration CONTRACTOR SAFETY 1.,0.7
SREQ-000108,GSTMT-000175,38811fa6a48a41e0979b84f46b44b030,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,38811fa6a48a41e0979b84f46b44b030_6.bin,certification_requirement,,comply,certification_or_standard,nist,,,unknown,"The National Cemetery (NCA) program will establish procedures and practices that comply with VA policy, NCA policy, and current Occupational Safety and Health Administration (OSHA) Standards in providing a safe work environment for its employees and volunteers.",0.75
SREQ-000109,GSTMT-000179,38811fa6a48a41e0979b84f46b44b030,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,38811fa6a48a41e0979b84f46b44b030_6.bin,general_requirement_statement,,comply,,,,,unknown,Facility Directors will ensure that employees are provided the proper equipment and training to protect them from all hazardous conditions in the workplace and comply with OSHA Standards and recognized safe work practices.,0.6
SREQ-000110,GSTMT-000182,38811fa6a48a41e0979b84f46b44b030,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,38811fa6a48a41e0979b84f46b44b030_10.bin,certification_requirement,,,certification_or_standard,nist,,,unknown,"Cape Canaveral National Cemetery Shrine Project- Grass Renovation FY26 Shrine Project Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation Shrine Project SOW General Information The Department of Veterans Affairs, National Cemetery Administration honors veterans with a final resting place and lasting memorials that commemorate their service to our Nation.",0.55
SREQ-000111,GSTMT-000187,38811fa6a48a41e0979b84f46b44b030,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,38811fa6a48a41e0979b84f46b44b030_11.bin,general_requirement_statement,contractor,provide,,,,if laydown will have water/electric access available?,unknown,"Could the government please provide Contractor Laydown Area Info, including location, dimensions, and if laydown will have water/electric access available?",0.75
SREQ-000112,GSTMT-000189,38811fa6a48a41e0979b84f46b44b030,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,38811fa6a48a41e0979b84f46b44b030_11.bin,general_requirement_statement,,provide,,,,"If so please provide any specs/requirements, if any",unknown,"If so please provide any specs/requirements, if any.",0.55
SREQ-000113,GSTMT-000191,38811fa6a48a41e0979b84f46b44b030,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,38811fa6a48a41e0979b84f46b44b030_11.bin,general_requirement_statement,government,provide,,,,,unknown,"Can the Government provide as-built drawings and pump station information including pump curves, flow rates, piping sizes, electrical service, and available footprint for the injection system?",0.75
SREQ-000114,GSTMT-000195,38811fa6a48a41e0979b84f46b44b030,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,38811fa6a48a41e0979b84f46b44b030_13.bin,procurement_artifact,,,process_artifact,amendment,,,unknown,AMENDMENT OF SOLICITATION/MODIFICATION OF CONTRACT BPA NO.,0.5
SREQ-000115,GSTMT-000196,38811fa6a48a41e0979b84f46b44b030,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,38811fa6a48a41e0979b84f46b44b030_13.bin,certification_requirement,,,certification_or_standard,nist,,If other than Item 6) CODE 36C786 Department of Veterans Affairs Department of Veterans Affairs National Cemetery Administr,unknown,ADMINISTERED BY (If other than Item 6) CODE 36C786 Department of Veterans Affairs Department of Veterans Affairs National Cemetery Administration National Cemetery Administration Contracting Services Contracting Services 18434 Joplin Road 18434 Joplin Road Triangle VA 22172 Triangle VA 22172 8.,0.55
SREQ-000116,GSTMT-000197,38811fa6a48a41e0979b84f46b44b030,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,38811fa6a48a41e0979b84f46b44b030_13.bin,procurement_artifact,offeror,,proposal_volume,offer,,,unknown,AMENDMENT OF SOLICITATION NUMBER To all Offerors/Bidders 36C78626B0017 X 9B.,0.7
SREQ-000117,GSTMT-000198,38811fa6a48a41e0979b84f46b44b030,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,38811fa6a48a41e0979b84f46b44b030_13.bin,procurement_artifact,,,process_artifact,amendment,,,unknown,THIS ITEM ONLY APPLIES TO AMENDMENTS OF SOLICITATIONS X The above numbered solicitation is amended as set forth in Item 14.,0.55
SREQ-000118,GSTMT-000199,38811fa6a48a41e0979b84f46b44b030,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,38811fa6a48a41e0979b84f46b44b030_13.bin,procurement_artifact,,acknowledge,proposal_volume,offer,,"prior to the hour and date specified in the solicitation or as amended, by one of the following methods",yes,"Offers must acknowledge receipt of this amendment prior to the hour and date specified in the solicitation or as amended, by one of the following methods:",0.85
SREQ-000119,GSTMT-000200,38811fa6a48a41e0979b84f46b44b030,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,38811fa6a48a41e0979b84f46b44b030_13.bin,procurement_artifact,,,process_artifact,amendment,,,unknown,"(a) By completing Items 8 and 15, and returning _____1_ ____ copies of the amendment;",0.55
SREQ-000120,GSTMT-000201,38811fa6a48a41e0979b84f46b44b030,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,38811fa6a48a41e0979b84f46b44b030_13.bin,procurement_artifact,,,proposal_volume,offer,,,unknown,(b) By acknowledging receipt of this amendment on each copy of the offer submitted;,0.55
SREQ-000121,GSTMT-000202,38811fa6a48a41e0979b84f46b44b030,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,38811fa6a48a41e0979b84f46b44b030_13.bin,general_requirement_statement,,,process_artifact,solicitation,,,unknown,or (c) By separate letter or electronic communication which includes a reference to the solicitation and amend,0.55
SREQ-000122,GSTMT-000204,38811fa6a48a41e0979b84f46b44b030,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,38811fa6a48a41e0979b84f46b44b030_14.bin,general_requirement_statement,contractor,submit,,,,,unknown,§ 5.5(a)(3)(ii) require contractors to submit weekly a copy of all payrolls to the Federal agency,0.75
SREQ-000123,GSTMT-000205,38811fa6a48a41e0979b84f46b44b030,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,38811fa6a48a41e0979b84f46b44b030_15.bin,general_requirement_statement,,perform,,,,,yes,EMPLOYEE RIGHTS UNDER THE DAVIS-BACON ACT FOR LABORERS AND MECHANICS EMPLOYED ON FEDERAL OR FEDERALLY ASSISTED CONSTRUCTION PROJECTS PREVAILING You must be paid not less than the wage rate listed in the Davis-Bacon Wage Decision posted with this Notice for the work you perform.,0.7
SREQ-000124,GSTMT-000209,38811fa6a48a41e0979b84f46b44b030,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,38811fa6a48a41e0979b84f46b44b030_15.bin,certification_requirement,,,certification_or_standard,nist,,,unknown,Kinney Contract Specialist Department of Veterans Affairs National Cemetery Administration Email:,0.55
SREQ-000125,GSTMT-000210,38811fa6a48a41e0979b84f46b44b030,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,38811fa6a48a41e0979b84f46b44b030_16.bin,certification_requirement,,,certification_or_standard,certificate of compliance,,,unknown,VAAR 852.219-75 VA NOTICE OF LIMITATIONS ON SUBCONTRACTING—CERTIFICATE OF COMPLIANCE FOR SERVICES AND CONSTRUCTION (JAN 2023) (DEVIATION) (a) Pursuant to 38 U.S.C.,0.55
SREQ-000126,GSTMT-000211,38811fa6a48a41e0979b84f46b44b030,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,38811fa6a48a41e0979b84f46b44b030_16.bin,general_requirement_statement,offeror,comply,proposal_volume,offer,,If awarded a contract (see FAR 2,unknown,"8127(l)(2), the offeror certifies that— (1) If awarded a contract (see FAR 2.101 definition), it will comply with the limitations on subcontracting requirement as provided in the solicitation and the resultant contract, as follows:",0.9
SREQ-000127,GSTMT-000213,38811fa6a48a41e0979b84f46b44b030,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,38811fa6a48a41e0979b84f46b44b030_16.bin,general_requirement_statement,,provide,,,,,optional_or_conditional,Other direct costs may be excluded to the extent they are not the principal purpose of the acquisition and small business concerns do not provide the service as set forth in 13 CFR 125.6.,0.7
SREQ-000128,GSTMT-000215,3164fcc003e84650b53a7bdb56485b05,"USAG DHR, Fort Bragg ID Card Services",3164fcc003e84650b53a7bdb56485b05_1.bin,staffing_requirement,personnel,provide,staffing_or_personnel,personnel,,,unknown,"This is a non-personnel services contract to provide Defense Enrollment and Eligibility Reporting System (DEERS)/ Real Time Automated Personnel Identification System (RAPIDS) Common Access Card (CAC) support services for the Installation Management Command (IMCOM) at Fort Bragg, North Carolina.",0.9
SREQ-000129,GSTMT-000219,3164fcc003e84650b53a7bdb56485b05,"USAG DHR, Fort Bragg ID Card Services",3164fcc003e84650b53a7bdb56485b05_1.bin,staffing_requirement,contractor,provide,staffing_or_personnel,personnel,,,yes,"The Contractor shall provide all personnel, equipment, supplies, facilities, transportation, tools, materials, supervision, and other items and non-personal services necessary to perform the verification and issuance of military identification (USID) and CAC cards for active duty military, Reserve and National Guard members, military retirees, family members, Department of Defense (DoD) civilians and other eligible recipients, as defined in this PWS, except for those items specified as government furnished property and services.",0.95
SREQ-000130,GSTMT-000220,3164fcc003e84650b53a7bdb56485b05,"USAG DHR, Fort Bragg ID Card Services",3164fcc003e84650b53a7bdb56485b05_3.bin,proposal_instruction,,,proposal_volume,quote,,UNLESS BLOCK IS MARKED THE DEFENSE PRIORITIES REQUEST INVITATION FOR AND ALLOCATIONS FOR QUOTE FOR BID PROPOSAL SEE SCHEDULE SY,unknown,METHOD OF SOLICITATION REQUEST UNLESS BLOCK IS MARKED THE DEFENSE PRIORITIES REQUEST INVITATION FOR AND ALLOCATIONS FOR QUOTE FOR BID PROPOSAL SEE SCHEDULE SYSTEM - DPAS (15 CFR 700) (RFQ) (IFB) (RFP) 15.,0.55
SREQ-000131,GSTMT-000221,3164fcc003e84650b53a7bdb56485b05,"USAG DHR, Fort Bragg ID Card Services",3164fcc003e84650b53a7bdb56485b05_3.bin,general_requirement_statement,,submit,proposal_volume,offer,,UNLESS BLOCK OFFER BELOW IS CHECKED SEE ADDENDUM 19,unknown,SUBMIT INVOICES TO ADDRESS SHOWN IN BLOCK 18a UNLESS BLOCK OFFER BELOW IS CHECKED SEE ADDENDUM 19.,0.75
SREQ-000132,GSTMT-000222,3164fcc003e84650b53a7bdb56485b05,"USAG DHR, Fort Bragg ID Card Services",3164fcc003e84650b53a7bdb56485b05_3.bin,evaluation_factor,,,pricing,unit price,,,unknown,ITEM NUMBER SCHEDULE OF SUPPLIES/SERVICES QUANTITY UNIT UNIT PRICE AMOUNT (Use Reverse and/or Attach Additional Shee,0.55
SREQ-000133,GSTMT-000224,3164fcc003e84650b53a7bdb56485b05,"USAG DHR, Fort Bragg ID Card Services",3164fcc003e84650b53a7bdb56485b05_4.bin,procurement_artifact,,,process_artifact,amendment,,,unknown,CONTRACT ID CODE PAGE OF PAGES AMENDMENT OF SOLICITATION/MODIFICATION OF CONTRACT 2.,0.55
SREQ-000134,GSTMT-000225,3164fcc003e84650b53a7bdb56485b05,"USAG DHR, Fort Bragg ID Card Services",3164fcc003e84650b53a7bdb56485b05_4.bin,certification_requirement,,,certification_or_standard,nist,,If other than Item 6) CODE 8,unknown,ADMINISTERED BY (If other than Item 6) CODE 8.,0.5
SREQ-000135,GSTMT-000226,3164fcc003e84650b53a7bdb56485b05,"USAG DHR, Fort Bragg ID Card Services",3164fcc003e84650b53a7bdb56485b05_4.bin,procurement_artifact,,,process_artifact,amendment,,,unknown,AMENDMENT OF SOLICITATION NUMBER 9B.,0.5
SREQ-000136,GSTMT-000227,3164fcc003e84650b53a7bdb56485b05,"USAG DHR, Fort Bragg ID Card Services",3164fcc003e84650b53a7bdb56485b05_4.bin,procurement_artifact,,,process_artifact,amendment,,,unknown,THIS ITEM ONLY APPLIES TO AMENDMENTS OF SOLICITATIONS The above numbered solicitation is amended as set forth in Item 14.,0.55
SREQ-000137,GSTMT-000228,3164fcc003e84650b53a7bdb56485b05,"USAG DHR, Fort Bragg ID Card Services",3164fcc003e84650b53a7bdb56485b05_4.bin,procurement_artifact,,acknowledge,proposal_volume,offer,,"prior to the hour and date specified in the solicitation or as amended, by one of the following methods",yes,"Offers must acknowledge receipt of this amendment prior to the hour and date specified in the solicitation or as amended, by one of the following methods:",0.85
SREQ-000138,GSTMT-000229,3164fcc003e84650b53a7bdb56485b05,"USAG DHR, Fort Bragg ID Card Services",3164fcc003e84650b53a7bdb56485b05_4.bin,procurement_artifact,,,process_artifact,amendment,,,unknown,"(a) By completing items 8 and 15, and returning copies of the amendment;",0.55
SREQ-000139,GSTMT-000230,3164fcc003e84650b53a7bdb56485b05,"USAG DHR, Fort Bragg ID Card Services",3164fcc003e84650b53a7bdb56485b05_4.bin,procurement_artifact,,,proposal_volume,offer,,,unknown,(b) By acknowledging receipt of this amendment on each copy of the offer submitted;,0.55
SREQ-000140,GSTMT-000231,3164fcc003e84650b53a7bdb56485b05,"USAG DHR, Fort Bragg ID Card Services",3164fcc003e84650b53a7bdb56485b05_4.bin,procurement_artifact,,,process_artifact,amendment,,,unknown,or (c) By separate letter or electronic communication which includes a reference to the solicitation and amendment numbers.,0.55
SREQ-000141,GSTMT-000232,3164fcc003e84650b53a7bdb56485b05,"USAG DHR, Fort Bragg ID Card Services",3164fcc003e84650b53a7bdb56485b05_4.bin,procurement_artifact,,,proposal_volume,offer,,"If by virtue of this amendment you desire to change an offer already submitted, such change may be made by letter or electr",optional_or_conditional,"If by virtue of this amendment you desire to change an offer already submitted, such change may be made by letter or electronic communication, provided each letter or electroni",0.65
SREQ-000142,GSTMT-000233,09ce44adca35468fb46ab77206c9afb7,6515--NetApp,09ce44adca35468fb46ab77206c9afb7_1.bin,certification_requirement,,,certification_or_standard,nist,,,unknown,ADMINISTERED BY CODE 36C262 Department of Veterans Affairs Department of Veterans Affairs Long Beach VA Healthcare System Network Contracting Office 22 Tibor Rubin Medical Center 4811 Airport Plaza Drive 5901 E.,0.55
SREQ-000143,GSTMT-000234,09ce44adca35468fb46ab77206c9afb7,6515--NetApp,09ce44adca35468fb46ab77206c9afb7_2.bin,procurement_artifact,,,process_artifact,amendment,,,unknown,RFQ - NetApp 36C26226Q0907 Amendment.,0.5
SREQ-000144,GSTMT-000235,09ce44adca35468fb46ab77206c9afb7,6515--NetApp,09ce44adca35468fb46ab77206c9afb7_2.bin,pricing_requirement,,include,process_artifact,amendment,,,unknown,GENERAL INFORMATION PLACE OF PERFORMANCE ADDITIONAL INFORMATION DESCRIPTION Amendment to change quantity on Clin #15 from 48 to 64 Amendment to include RFQ answers Question 1 -0015 (UCS-DDR5-BLK):,0.75
SREQ-000145,GSTMT-000238,09ce44adca35468fb46ab77206c9afb7,6515--NetApp,09ce44adca35468fb46ab77206c9afb7_2.bin,evaluation_factor,,,proposal_volume,offer,,,unknown,Please confirm which quantity governs for quoting and contract performance—64 per the SOW or 48 per the Price/Cost Schedule—and issue an amendment or written clarification before the offer due date.,0.55
SREQ-000146,GSTMT-000241,09ce44adca35468fb46ab77206c9afb7,6515--NetApp,09ce44adca35468fb46ab77206c9afb7_2.bin,proposal_instruction,offeror,,proposal_volume,quote,,,unknown,"Should offerors quote the annual subscription cost for the base year only, or should the quote reflect a multi-year term?",0.7
SREQ-000147,GSTMT-000242,09ce44adca35468fb46ab77206c9afb7,6515--NetApp,09ce44adca35468fb46ab77206c9afb7_2.bin,evaluation_factor,offeror,,proposal_volume,offer,,,optional_or_conditional,Please confirm the intended contract duration for this subscription line item so all offerors may price it accurately and consistently.,0.8
SREQ-000148,GSTMT-000243,09ce44adca35468fb46ab77206c9afb7,6515--NetApp,09ce44adca35468fb46ab77206c9afb7_2.bin,general_requirement_statement,offeror,submit,proposal_volume,offer,90 days,,yes,Question 3 — OEM Authorization Letter Requirements Section E.2.5 requires offerors to submit an OEM authorization letter dated no more than 90 days,0.95
