expression_id,canonical_statement_id,expression_family,expression_type,expression_intent,matched_pattern,expression_confidence,is_recurring_expression,is_boilerplate_candidate,source_count,duplicate_count,cluster_size,opportunity_title_sample,expression_text,created_at
PEL-000099,CGS-000099,Unclassified,Needs Semantic Review,Discovery,,0.3,no,no,1,0,1,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,Contractor shall be responsible for replacing damaged headstones and markers and for restoring turf damaged during performance of this work.,2026-06-26 09:36:38
PEL-000100,CGS-000100,Unclassified,Needs Semantic Review,Discovery,,0.3,no,no,1,0,1,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,"Additionally, should any activity result in the exposure and/or damage to any remains, container for remains (e.g., casket or urn), or outer burial container, the contractor must contact the COR, Director/Assistant Director, or Contracting Officer (CO) for guidance.",2026-06-26 09:36:38
PEL-000101,CGS-000101,Unclassified,Needs Semantic Review,Discovery,,0.3,no,no,1,0,1,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,"Any doubts as to proper procedures shall be brought to the attention of the COR, Director/Assistant Director, or",2026-06-26 09:36:38
PEL-000102,CGS-000102,Unclassified,Needs Semantic Review,Discovery,,0.3,no,no,1,0,1,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,"Department of Veterans Affairs National Cemetery Administration, Contract Services 18434 Joplin Road Triangle, VA 22172 Place of Performance:",2026-06-26 09:36:38
PEL-000103,CGS-000103,Unclassified,Needs Semantic Review,Discovery,,0.3,no,no,1,0,1,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,"Black Hills National Cemetery 20901 Pleasant Valley Dr, Sturgis, SD 57785 Attachments:",2026-06-26 09:36:38
PEL-000104,CGS-000104,Proposal,Proposal Volume Structure,Submission Structure,past performance,0.9,yes,no,3,2,3,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,"A - Statement of work B - Cemetery Operational Standards C - Dignity Clause D- Past Performance Questionnaire E- Pricing Schedule (Excel) This is a combined synopsis/solicitation for commercial services prepared in accordance with the format in Subpart 12.6, as supplemented with additional information included in this notice.",2026-06-26 09:36:38
PEL-000105,CGS-000105,Administrative,Short Administrative Expression,Review,,0.45,yes,no,2,1,2,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,"quotes are being requested, and a written solicitation will not be issued.",2026-06-26 09:36:38
PEL-000106,CGS-000106,Unclassified,Needs Semantic Review,Discovery,,0.3,no,no,1,0,1,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,Contractor is responsible for submitting their package in accordance with the guidance in this solicitation.,2026-06-26 09:36:38
PEL-000107,CGS-000107,Unclassified,Needs Semantic Review,Discovery,,0.3,no,no,1,0,1,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,Failure to follow the document format or the solicitation guidelines will render the submission,2026-06-26 09:36:38
PEL-000108,CGS-000108,Unclassified,Needs Semantic Review,Discovery,,0.3,no,no,1,0,1,Notice of Intent to Sole Source- Investigative Services  Houston Police Deparment,Notice of Intent #FDA-SS-26-06202026 The Food and Drug Administration intends to make sole source awards to the following:,2026-06-26 09:36:38
PEL-000109,CGS-000109,Administrative,Short Administrative Expression,Review,,0.45,no,no,1,0,1,Notice of Intent to Sole Source- Investigative Services  Houston Police Deparment,This notice of intent is not a solicitation for competitive proposals.,2026-06-26 09:36:38
PEL-000110,CGS-000110,Unclassified,Needs Semantic Review,Discovery,,0.3,no,no,1,0,1,Notice of Intent to Sole Source- Investigative Services  Houston Police Deparment,Any other firms desiring consideration must fully identify their interest and capability to provide this service or submit a proposal within 7 days to the individual listed.,2026-06-26 09:36:38
PEL-000111,CGS-000111,Administrative,Short Administrative Expression,Review,,0.45,no,no,1,0,1,Notice of Intent to Sole Source- Investigative Services  Houston Police Deparment,Responses to this notice must be sent via email to:,2026-06-26 09:36:38
PEL-000112,CGS-000112,Administrative,Short Administrative Expression,Review,,0.45,no,no,1,0,1,Request for Information: FDA IT Infrastructure Services,REQUEST FOR INFORMATION Request # FDA-RFI-75F40126Q00262 REQUIREMENT:,2026-06-26 09:36:38
PEL-000113,CGS-000113,Administrative,Short Administrative Expression,Review,,0.45,no,no,1,0,1,Request for Information: FDA IT Infrastructure Services,Food and Drug Administration REQUIRING OFFICES:,2026-06-26 09:36:38
PEL-000114,CGS-000114,Legal and Compliance,FAR Clause,Compliance,far part,0.9,no,no,1,0,1,Request for Information: FDA IT Infrastructure Services,"Food and Drug Administration (FDA) is issuing this Request for Information (RFI) as a means of conducting market research, pursuant to FAR Part 10 Market Research.",2026-06-26 09:36:38
PEL-000115,CGS-000115,Unclassified,Needs Semantic Review,Discovery,,0.3,no,no,1,0,1,Request for Information: FDA IT Infrastructure Services,"This is a REQUEST FOR INFORMATION (RFI) ONLY, not a Request for Quote (RFQ) and does not commit the Government to award a contract now or in the future.",2026-06-26 09:36:38
PEL-000116,CGS-000116,Unclassified,Needs Semantic Review,Discovery,,0.3,no,no,1,0,1,Request for Information: FDA IT Infrastructure Services,Submission of any information in response to this market survey is purely voluntary and FDA welcomes responses from all interested parties;,2026-06-26 09:36:38
PEL-000117,CGS-000117,Unclassified,Needs Semantic Review,Discovery,,0.3,no,no,1,0,1,Request for Information: FDA IT Infrastructure Services,The FDA will use the results of the market research to determine if sources are capable of satisfying the agency's requirements exist based on the response received to the Government's questions contained in this notice.,2026-06-26 09:36:38
PEL-000118,CGS-000118,Commercial,Pricing Schedule,Pricing,price schedule,0.9,yes,no,2,1,2,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,36C78626B0017 Section B SECTION B - SUPPLIES OR SERVICES AND PRICE/COSTS B.1 PRICE SCHEDULE ITEM INFORMATION ITEM DESCRIPTION OF NUMBER SUPPLIES/SERVICES QUANTITY UNIT UNIT PRICE AMOUNT 0001 1 JB ___ ___ Remove/Renovate/Replace Ornamental Grass and Irrigation in accordance with the attached Statement of Work Contract Period:,2026-06-26 09:36:38
PEL-000119,CGS-000119,Unclassified,Needs Semantic Review,Discovery,,0.3,no,no,1,0,1,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,"DATE ISSUED PAGE OF PAGES SOLICITATION, OFFER, AND AWARD X SEALED BID (IFB) 1 73 05/01/2026 (Construction, Alteration, or Repair) 36C78626B0017 NEGOTIATED (RFP) IMPORTANT - The ""offer"" section on the reverse must be fully completed by offeror.",2026-06-26 09:36:38
PEL-000120,CGS-000120,Unclassified,Needs Semantic Review,Discovery,,0.3,no,no,1,0,1,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,ADDRESS OFFER TO Department of Veterans Affairs Daniel.kinney@va.gov National Cemetery Administration Contracting Services 18434 Joplin Road Triangle VA 22172 9.,2026-06-26 09:36:38
PEL-000121,CGS-000121,Administrative,Short Administrative Expression,Review,,0.45,no,no,1,0,1,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,TELEPHONE NUMBER (Include area code) (NO COLLECT CALLS) CALL:,2026-06-26 09:36:38
PEL-000122,CGS-000122,Unclassified,Needs Semantic Review,Discovery,,0.3,no,no,1,0,1,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,"THE GOVERNMENT REQUIRES PERFORMANCE OF THE WORK DESCRIBED IN THESE DOCUMENTS (Title, identifying number, date) Project Title:",2026-06-26 09:36:38
PEL-000123,CGS-000123,Legal and Compliance,Subcontracting Limitation,Compliance,subcontractor,0.9,no,no,1,0,1,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,The subcontractor acknowledges that the following clauses of the contract shown in Item 1 are included in this subcontract:,2026-06-26 09:36:38
PEL-000124,CGS-000124,Supplier Qualification,Certification Requirement,Eligibility,certification,0.9,no,no,1,0,1,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,Contract Work Hours and Safety Standards Act - Overtime Construction Wage Rate Requirements Compensation (If included in prime contract see Block 6) Apprentices and Trainees Payrolls and Basic Records Compliance with Copeland Act Withholding of Funds Requirements Disputes Concerning Labor Standards Subcontracts (Labor Standards) Compliance with Construction Wage Rate Requirements Contract Termination - Debarment and Related Regulations Certification of Eligibility Autho,2026-06-26 09:36:38
PEL-000125,CGS-000125,Unclassified,Needs Semantic Review,Discovery,,0.3,no,no,1,0,1,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,"an equitable and open process that serves both industry and the public good, the American National Standards Institute (ANSI, or the ""Institute"") accredits standards developing organizations (SDOs) against a set of criteria to assure openness, balance, due process, and consensus in standards development - ANSI's ""Essential Requirements."" The Institute does not develop standards itself;",2026-06-26 09:36:38
PEL-000126,CGS-000126,Unclassified,Needs Semantic Review,Discovery,,0.3,no,no,1,0,1,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,"rather, ANSI-accredited SDOs may submit their documents for approval as American National Standards (ANS).",2026-06-26 09:36:38
PEL-000127,CGS-000127,Unclassified,Needs Semantic Review,Discovery,,0.3,no,no,1,0,1,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,Standard Operating Procedure National Cemetery Administration CONTRACTOR SAFETY 1.,2026-06-26 09:36:38
PEL-000128,CGS-000128,Unclassified,Needs Semantic Review,Discovery,,0.3,no,no,1,0,1,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,"The National Cemetery (NCA) program will establish procedures and practices that comply with VA policy, NCA policy, and current Occupational Safety and Health Administration (OSHA) Standards in providing a safe work environment for its employees and volunteers.",2026-06-26 09:36:38
PEL-000129,CGS-000129,Unclassified,Needs Semantic Review,Discovery,,0.3,no,no,1,0,1,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,This program outlines procedures to follow but it is not intended to supersede the requirements detailed in the applicable OSHA Standards.,2026-06-26 09:36:38
PEL-000130,CGS-000130,Unclassified,Needs Semantic Review,Discovery,,0.3,no,no,1,0,1,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,The Contractor Safety Program will be implemented and maintained through training and safe work practice procedures.,2026-06-26 09:36:38
PEL-000131,CGS-000131,Unclassified,Needs Semantic Review,Discovery,,0.3,no,no,1,0,1,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,Facility Directors are responsible for the implementation and evaluation of this program at their facilities.,2026-06-26 09:36:38
PEL-000132,CGS-000132,Unclassified,Needs Semantic Review,Discovery,,0.3,no,no,1,0,1,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,Facility Directors will ensure that employees are provided the proper equipment and training to protect them from all hazardous conditions in the workplace and comply with OSHA Standards and recognized safe work practices.,2026-06-26 09:36:38
PEL-000133,CGS-000133,Administrative,Short Administrative Expression,Review,,0.45,no,no,1,0,1,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,Supervisors/Foremen and Collateral Duty Safety Officers (CDSO) will:,2026-06-26 09:36:38
PEL-000134,CGS-000134,Unclassified,Needs Semantic Review,Discovery,,0.3,no,no,1,0,1,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,"LOWBOY TRUCK...$ 11.00 0.00 TRUCK DRIVER, INCLUDES DUMP TRUCK...$ 11.07 0.00 OPERATOR:",2026-06-26 09:36:38
PEL-000135,CGS-000135,Unclassified,Needs Semantic Review,Discovery,,0.3,no,no,1,0,1,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,"Cape Canaveral National Cemetery Shrine Project- Grass Renovation FY26 Shrine Project Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation Shrine Project SOW General Information The Department of Veterans Affairs, National Cemetery Administration honors veterans with a final resting place and lasting memorials that commemorate their service to our Nation.",2026-06-26 09:36:38
PEL-000136,CGS-000136,Unclassified,Needs Semantic Review,Discovery,,0.3,no,no,1,0,1,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,"The standards of maintenance, appearance and operational procedures performed by the contractor at this cemetery shall reflect this nation's concern for those interred there.",2026-06-26 09:36:38
PEL-000137,CGS-000137,Unclassified,Needs Semantic Review,Discovery,,0.3,no,no,1,0,1,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,"For this reason, the contractor's strict adherence to the specifications shall be required and shall be essential.",2026-06-26 09:36:38
PEL-000138,CGS-000138,Administrative,Short Administrative Expression,Review,,0.45,no,no,1,0,1,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,"Areas shall be identified as Area 1, Area 2 and Area 3.",2026-06-26 09:36:38
PEL-000139,CGS-000139,Unclassified,Needs Semantic Review,Discovery,,0.3,no,no,1,0,1,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,Ornamental grasses shall be Fountain Grass (Pennisetum Setaceum 'Alba White')- (approx.,2026-06-26 09:36:38
PEL-000140,CGS-000140,Unclassified,Needs Semantic Review,Discovery,,0.3,no,no,1,0,1,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,"Could the government please provide Contractor Laydown Area Info, including location, dimensions, and if laydown will have water/electric access available?",2026-06-26 09:36:38
PEL-000141,CGS-000141,Administrative,Short Administrative Expression,Review,,0.45,no,no,1,0,1,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,Contractor laydown area to be provided is approx.+/- 40'x 50' 2.,2026-06-26 09:36:38
PEL-000142,CGS-000142,Administrative,Short Administrative Expression,Review,,0.45,no,no,1,0,1,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,"If so please provide any specs/requirements, if any.",2026-06-26 09:36:38
PEL-000143,CGS-000143,Administrative,Short Administrative Expression,Review,,0.45,no,no,1,0,1,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,No weed or landscape fabric shall be used with project.,2026-06-26 09:36:38
PEL-000144,CGS-000144,Unclassified,Needs Semantic Review,Discovery,,0.3,no,no,1,0,1,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,"Can the Government provide as-built drawings and pump station information including pump curves, flow rates, piping sizes, electrical service, and available footprint for the injection system?",2026-06-26 09:36:38
PEL-000145,CGS-000145,Administrative,Short Administrative Expression,Review,,0.45,no,no,1,0,1,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,Please reference SOW for injection system requirements.,2026-06-26 09:36:38
PEL-000146,CGS-000146,Administrative,Short Administrative Expression,Review,,0.45,no,no,1,0,1,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,Injection injection system requirements are unknown.,2026-06-26 09:36:38
PEL-000147,CGS-000147,Administrative,Short Administrative Expression,Review,,0.45,no,no,1,0,1,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,Are there existing backflow devices we must tie into?,2026-06-26 09:36:38
PEL-000148,CGS-000148,Administrative,Solicitation Amendment,Document Administration,amendment of solicitation,0.9,no,yes,1,0,1,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,AMENDMENT OF SOLICITATION/MODIFICATION OF CONTRACT BPA NO.,2026-06-26 09:36:38
PEL-000149,CGS-000149,Unclassified,Needs Semantic Review,Discovery,,0.3,no,no,1,0,1,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,ADMINISTERED BY (If other than Item 6) CODE 36C786 Department of Veterans Affairs Department of Veterans Affairs National Cemetery Administration National Cemetery Administration Contracting Services Contracting Services 18434 Joplin Road 18434 Joplin Road Triangle VA 22172 Triangle VA 22172 8.,2026-06-26 09:36:38
PEL-000150,CGS-000150,Administrative,Solicitation Amendment,Document Administration,amendment of solicitation,0.9,no,yes,1,0,1,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,AMENDMENT OF SOLICITATION NUMBER To all Offerors/Bidders 36C78626B0017 X 9B.,2026-06-26 09:36:38
PEL-000151,CGS-000151,Administrative,Solicitation Amendment,Document Administration,the above numbered solicitation is amended,0.9,no,yes,1,0,1,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,THIS ITEM ONLY APPLIES TO AMENDMENTS OF SOLICITATIONS X The above numbered solicitation is amended as set forth in Item 14.,2026-06-26 09:36:38
PEL-000152,CGS-000152,Unclassified,Needs Semantic Review,Discovery,,0.3,yes,no,5,4,5,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,"(a) By completing Items 8 and 15, and returning ___1_ ___ copies of the amendment;",2026-06-26 09:36:38
PEL-000153,CGS-000153,Unclassified,Needs Semantic Review,Discovery,,0.3,no,no,1,0,1,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,or (c) By separate letter or electronic communication which includes a reference to the solicitation and amend,2026-06-26 09:36:38
PEL-000154,CGS-000154,Unclassified,Needs Semantic Review,Discovery,,0.3,no,no,1,0,1,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,See Instructions at www.dol.gov/whd/forms/wh347instr.htm) Persons are not required to respond to the collection of information unless it displays a currently valid OMB control number.,2026-06-26 09:36:38
PEL-000155,CGS-000155,Unclassified,Needs Semantic Review,Discovery,,0.3,no,no,1,0,1,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,§ 5.5(a)(3)(ii) require contractors to submit weekly a copy of all payrolls to the Federal agency,2026-06-26 09:36:38
PEL-000156,CGS-000156,Unclassified,Needs Semantic Review,Discovery,,0.3,no,no,1,0,1,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,EMPLOYEE RIGHTS UNDER THE DAVIS-BACON ACT FOR LABORERS AND MECHANICS EMPLOYED ON FEDERAL OR FEDERALLY ASSISTED CONSTRUCTION PROJECTS PREVAILING You must be paid not less than the wage rate listed in the Davis-Bacon Wage Decision posted with this Notice for the work you perform.,2026-06-26 09:36:38
PEL-000157,CGS-000157,Unclassified,Needs Semantic Review,Discovery,,0.3,no,no,1,0,1,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,WAGES OVERTIME You must be paid not less than one and one-half times your basic rate of pay for all hours worked over 40 in a work week.,2026-06-26 09:36:38
PEL-000158,CGS-000158,Unclassified,Needs Semantic Review,Discovery,,0.3,no,no,1,0,1,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,"ENFORCEMENT Contract payments can be withheld to ensure workers receive wages and overtime pay due, and liquidated damages may apply if overtime pay requirements are not met.",2026-06-26 09:36:38
PEL-000159,CGS-000159,Unclassified,Needs Semantic Review,Discovery,,0.3,no,no,1,0,1,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,"A contractor who falsifies certified payroll records or induces wage kickbacks may be subject to civil or criminal prosecution, fines and/or imprisonment.",2026-06-26 09:36:38
PEL-000160,CGS-000160,Unclassified,Needs Semantic Review,Discovery,,0.3,no,no,1,0,1,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,Kinney Contract Specialist Department of Veterans Affairs National Cemetery Administration Email:,2026-06-26 09:36:38
PEL-000161,CGS-000161,Supplier Qualification,Certification Requirement,Eligibility,certificate of compliance,0.9,no,no,1,0,1,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,VAAR 852.219-75 VA NOTICE OF LIMITATIONS ON SUBCONTRACTING-CERTIFICATE OF COMPLIANCE FOR SERVICES AND CONSTRUCTION (JAN 2023) (DEVIATION) (a) Pursuant to 38 U.S.C.,2026-06-26 09:36:38
PEL-000162,CGS-000162,Legal and Compliance,Subcontracting Limitation,Compliance,limitations on subcontracting,0.9,no,no,1,0,1,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,"8127(l)(2), the offeror certifies that- (1) If awarded a contract (see FAR 2.101 definition), it will comply with the limitations on subcontracting requirement as provided in the solicitation and the resultant contract, as follows:",2026-06-26 09:36:38
PEL-000163,CGS-000163,Supplier Qualification,Certification Requirement,Eligibility,certification,0.9,no,no,1,0,1,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,"In the case of a contract for services (except construction), the contractor will not pay more than 50% of the amount paid by the government to it to firms that are not certified SDVOSBs listed in the SBA certification database as set forth in 852.219-73 or certified VOSBs listed in the SBA certification database as set forth in 852.219-74.",2026-06-26 09:36:38
PEL-000164,CGS-000164,Unclassified,Needs Semantic Review,Discovery,,0.3,no,no,1,0,1,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,Other direct costs may be excluded to the extent they are not the principal purpose of the acquisition and small business concerns do not provide the service as set forth in 13 CFR 125.6.,2026-06-26 09:36:38
PEL-000165,CGS-000165,Supplier Qualification,Certification Requirement,Eligibility,certification,0.9,no,no,1,0,1,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,"In the case of a contract for general construction, the contractor will not pay more than 85% of the amount paid by the government to it to firms that are not certified SDVOSBs listed in the SBA certification database as set forth in 852.219-73 or certified VOSBs listed in the SBA certification database as set forth in 852.219-74.",2026-06-26 09:36:38
PEL-000166,CGS-000166,Unclassified,Needs Semantic Review,Discovery,,0.3,yes,no,2,1,2,"USAG DHR, Fort Bragg ID Card Services","This is a non-personnel services contract to provide Defense Enrollment and Eligibility Reporting System (DEERS)/ Real Time Automated Personnel Identification System (RAPIDS) Common Access Card (CAC) support services for the Installation Management Command (IMCOM) at Fort Bragg, North Carolina.",2026-06-26 09:36:38
PEL-000167,CGS-000167,Unclassified,Needs Semantic Review,Discovery,,0.3,no,no,1,0,1,"USAG DHR, Fort Bragg ID Card Services",The Government will not exercise any supervision or control over the contract service providers performing the services herein.,2026-06-26 09:36:38
PEL-000168,CGS-000168,Unclassified,Needs Semantic Review,Discovery,,0.3,no,no,1,0,1,"USAG DHR, Fort Bragg ID Card Services","Such contract service providers shall be accountable solely to the Contractor who, in turn is responsible to the Government.",2026-06-26 09:36:38
PEL-000169,CGS-000169,Unclassified,Needs Semantic Review,Discovery,,0.3,no,no,1,0,1,"USAG DHR, Fort Bragg ID Card Services","The Contractor shall provide all personnel, equipment, supplies, facilities, transportation, tools, materials, supervision, and other items and non-personal services necessary to perform the verification and issuance of military identification (USID) and CAC cards for active duty military, Reserve and National Guard members, military retirees, family members, Department of Defense (DoD) civilians and other eligible recipients, as defined in this PWS, except for those items specified as government furnished property and services.",2026-06-26 09:36:38
PEL-000170,CGS-000170,Unclassified,Needs Semantic Review,Discovery,,0.3,yes,no,2,1,2,6515--NetApp,ADMINISTERED BY CODE 36C262 Department of Veterans Affairs Department of Veterans Affairs Long Beach VA Healthcare System Network Contracting Office 22 Tibor Rubin Medical Center 4811 Airport Plaza Drive 5901 E.,2026-06-26 09:36:38
PEL-000171,CGS-000171,Administrative,Short Administrative Expression,Review,,0.45,no,no,1,0,1,6515--NetApp,RFQ - NetApp 36C26226Q0907 Amendment.,2026-06-26 09:36:38
PEL-000172,CGS-000172,Commercial,Pricing Schedule,Pricing,\bclin\b,0.9,yes,no,2,1,2,6515--NetApp,GENERAL INFORMATION PLACE OF PERFORMANCE ADDITIONAL INFORMATION DESCRIPTION Amendment to change quantity on Clin #15 from 48 to 64 Amendment to include RFQ answers Question 1 -0015 (UCS-DDR5-BLK):,2026-06-26 09:36:38
PEL-000173,CGS-000173,Unclassified,Needs Semantic Review,Discovery,,0.3,no,no,1,0,1,6515--NetApp,"Section B.3 (Price/Cost Schedule, page 8) lists a quantity of 48 units for the same item.",2026-06-26 09:36:38
PEL-000174,CGS-000174,Unclassified,Needs Semantic Review,Discovery,,0.3,yes,no,2,1,2,6515--NetApp,Please confirm which quantity governs for quoting and contract performance-64 per the SOW or 48 per the Price/Cost Schedule-and issue an amendment or written clarification before the offer due date.,2026-06-26 09:36:38
PEL-000175,CGS-000175,Commercial,Pricing Schedule,Pricing,line item,0.9,no,no,1,0,1,6515--NetApp,"Subscription Pricing Structure Line item 0003, DC-MGT-IS-SAAS-ES (Infrastructure Services SaaS/CVA - Essentials), is a Cisco subscription-based product priced on an annual term basis rather than as a one-time purchase.",2026-06-26 09:36:38
PEL-000176,CGS-000176,Unclassified,Needs Semantic Review,Discovery,,0.3,no,no,1,0,1,6515--NetApp,"Should offerors quote the annual subscription cost for the base year only, or should the quote reflect a multi-year term?",2026-06-26 09:36:38
PEL-000177,CGS-000177,Commercial,Pricing Schedule,Pricing,line item,0.9,no,no,1,0,1,6515--NetApp,Please confirm the intended contract duration for this subscription line item so all offerors may price it accurately and consistently.,2026-06-26 09:36:38
PEL-000178,CGS-000178,Unclassified,Needs Semantic Review,Discovery,,0.3,no,no,1,0,1,6515--NetApp,Question 3 - OEM Authorization Letter Requirements Section E.2.5 requires offerors to submit an OEM authorization letter dated no more than 90 days,2026-06-26 09:36:38
PEL-000179,CGS-000179,Metadata,SF-1449 Form Language,Document Structure,sf 1449,0.9,yes,yes,2,1,2,6515--NetApp,GENERAL INFORMATION PLACE OF PERFORMANCE ADDITIONAL INFORMATION DESCRIPTION SECTION B - CONTINUATION OF SF 1449 BLOCKS B.1 CONTRACT ADMINISTRATION DATA 1.,2026-06-26 09:36:38
PEL-000180,CGS-000180,Unclassified,Needs Semantic Review,Discovery,,0.3,no,no,1,0,1,6515--NetApp,All contract administration matters will be handled by the following individuals:,2026-06-26 09:36:38
PEL-000181,CGS-000181,Administrative,Short Administrative Expression,Review,,0.45,no,no,1,0,1,6515--NetApp,Invoices shall be submitted in arrears:,2026-06-26 09:36:38
PEL-000182,CGS-000182,Unclassified,Needs Semantic Review,Discovery,,0.3,no,no,1,0,1,6515--NetApp,All Invoices from the contractor shall be submitted electronically in accordance with VAAR Clause 852.232-72 Electronic Submission of Payment Requests.,2026-06-26 09:36:38
PEL-000183,CGS-000183,Unclassified,Needs Semantic Review,Discovery,,0.3,no,no,1,0,1,6515--NetApp,The offeror acknowledges receipt of amendments to the Solicitation numbered and dated as follows:,2026-06-26 09:36:38
PEL-000184,CGS-000184,Unclassified,Needs Semantic Review,Discovery,,0.3,no,no,1,0,1,6515--NetApp,"The services to be provided by the contractor under this agreement shall consist of furnishing all necessary parts, labor, transpor",2026-06-26 09:36:38
PEL-000185,CGS-000185,Administrative,Solicitation Amendment,Document Administration,amendment of solicitation,0.9,yes,yes,2,1,2,31 CES n. 25 military gear lockers.,CONTRACT ID CODE PAGE 1 OF 2 AMENDMENT OF SOLICITATION/MODIFICATION OF CONTRACT J 2.,2026-06-26 09:36:38
PEL-000186,CGS-000186,Unclassified,Needs Semantic Review,Discovery,,0.3,yes,no,2,1,2,31 CES n. 25 military gear lockers.,"ADMINISTERED BY (if other than Item CODE 6) FA5682 31 CONS DA LGC UNIT 6102 BOX 140, APO AE 09604-6102 APO, AE 09604-6102 SCD:",2026-06-26 09:36:38
PEL-000187,CGS-000187,Administrative,Solicitation Amendment,Document Administration,amendment of solicitation,0.9,yes,yes,2,1,2,31 CES n. 25 military gear lockers.,AMENDMENT OF SOLICITATION NUMBER FA568226Q0014 9B.,2026-06-26 09:36:38
PEL-000188,CGS-000188,Unclassified,Needs Semantic Review,Discovery,,0.3,no,no,1,0,1,31 CES n. 25 military gear lockers.,METHOD OF SOLICITATION UNLESS BLOCK IS MARKED THE DEFENSE PRIORITIES REQUEST FOR INVITATION REQUEST FOR SEE SCHEDULE AND ALLOCATIONS QUOTE (RFQ) FOR BID (IFB) PROPOSAL (RFP) SYSTEM-DPAS (15 CFR 700) 15.,2026-06-26 09:36:38
