explainability_id,search_result_id,search_request_id,node_id,canonical_name,why_returned,score_formula,score_components,supporting_relationships,created_at
GSEXP-000048,GSRES-000048,GSRQ-000006,KGNODE2-000005,Performance Work Statement,Matched query terms in node/search text.,final = exact*0.45 + lexical*0.25 + relationship*0.15 + confidence*0.10 + domain_boost,"{""exact_score"": 0.0, ""lexical_score"": 0.3333, ""relationship_score"": 0.3333, ""confidence_score"": 0.811, ""domain_boost"": 0.0, ""final_score"": 0.2144}",Performance Work Statement --requires_supplier_capability--> Past Performance | Performance Work Statement --requires_supplier_capability--> Small Business Set-Aside | Performance Work Statement --specializes--> Statement of Work | National Cemetery Operations --specializes_requirement--> Performance Work Statement,2026-06-29 22:06:49
GSEXP-000049,GSRES-000049,GSRQ-000006,KGNODE2-000016,Past Performance,Matched query terms in node/search text.,final = exact*0.45 + lexical*0.25 + relationship*0.15 + confidence*0.10 + domain_boost,"{""exact_score"": 0.0, ""lexical_score"": 0.3333, ""relationship_score"": 0.3333, ""confidence_score"": 0.734, ""domain_boost"": 0.0, ""final_score"": 0.2067}",Performance Work Statement --requires_supplier_capability--> Past Performance | Statement of Work --requires_supplier_capability--> Past Performance,2026-06-29 22:06:49
GSEXP-000050,GSRES-000050,GSRQ-000006,KGNODE2-000025,Statement of Work,Matched query terms in node/search text.,final = exact*0.45 + lexical*0.25 + relationship*0.15 + confidence*0.10 + domain_boost,"{""exact_score"": 0.0, ""lexical_score"": 0.3333, ""relationship_score"": 0.3333, ""confidence_score"": 0.727, ""domain_boost"": 0.0, ""final_score"": 0.206}",Statement of Work --requires_supplier_capability--> Past Performance | Statement of Work --requires_supplier_capability--> Small Business Set-Aside | National Cemetery Operations --specializes_requirement--> Statement of Work | Performance Work Statement --specializes--> Statement of Work,2026-06-29 22:06:49
GSEXP-000051,GSRES-000051,GSRQ-000006,KGNODE2-000021,Small Business Set-Aside,Matched query terms in node/search text.,final = exact*0.45 + lexical*0.25 + relationship*0.15 + confidence*0.10 + domain_boost,"{""exact_score"": 0.0, ""lexical_score"": 0.3333, ""relationship_score"": 0.3333, ""confidence_score"": 0.706, ""domain_boost"": 0.0, ""final_score"": 0.2039}",Performance Work Statement --requires_supplier_capability--> Small Business Set-Aside | Statement of Work --requires_supplier_capability--> Small Business Set-Aside,2026-06-29 22:06:49
GSEXP-000052,GSRES-000052,GSRQ-000007,KGNODE2-000010,FAR and DOSAR Provisions,"Matched directly against canonical node name, node type, or strong token overlap.",final = exact*0.45 + lexical*0.25 + relationship*0.15 + confidence*0.10 + domain_boost,"{""exact_score"": 0.4, ""lexical_score"": 1.0, ""relationship_score"": 0.0, ""confidence_score"": 0.86, ""domain_boost"": 0.15, ""final_score"": 0.666}",,2026-06-29 22:06:49
GSEXP-000053,GSRES-000053,GSRQ-000008,KGNODE2-000001,Solicitation Amendment,"Matched directly against canonical node name, node type, or strong token overlap.",final = exact*0.45 + lexical*0.25 + relationship*0.15 + confidence*0.10 + domain_boost,"{""exact_score"": 0.75, ""lexical_score"": 1.0, ""relationship_score"": 0.75, ""confidence_score"": 0.902, ""domain_boost"": 0.12, ""final_score"": 0.9102}",Proposal Volume --requires_submission_instruction--> Solicitation Amendment | Contracting Officer --issues_or_receives--> Solicitation Amendment | Solicitation Number --defines_submission_context--> Solicitation Amendment | Request for Information --defines_submission_context--> Solicitation Amendment | Combined Synopsis Solicitation --defines_submission_context--> Solicitation Amendment,2026-06-29 22:06:49
GSEXP-000054,GSRES-000054,GSRQ-000008,KGNODE2-000019,Proposal Volume,"Matched directly against canonical node name, node type, or strong token overlap.",final = exact*0.45 + lexical*0.25 + relationship*0.15 + confidence*0.10 + domain_boost,"{""exact_score"": 0.75, ""lexical_score"": 1.0, ""relationship_score"": 0.5, ""confidence_score"": 0.719, ""domain_boost"": 0.12, ""final_score"": 0.8544}",Proposal Volume --requires_submission_instruction--> Solicitation Amendment,2026-06-29 22:06:49
GSEXP-000055,GSRES-000055,GSRQ-000008,KGNODE2-000004,Contracting Officer,Matched query terms in node/search text.,final = exact*0.45 + lexical*0.25 + relationship*0.15 + confidence*0.10 + domain_boost,"{""exact_score"": 0.0, ""lexical_score"": 0.75, ""relationship_score"": 0.75, ""confidence_score"": 0.802, ""domain_boost"": 0.12, ""final_score"": 0.5002}",Contracting Officer --issues_or_receives--> Solicitation Amendment | Contracting Officer --administers_acquisition--> Solicitation Number | Contracting Officer --administers_acquisition--> Request for Information | Contracting Officer --administers_acquisition--> Combined Synopsis Solicitation | Contracting Officer --administers_acquisition--> Method of Solicitation,2026-06-29 22:06:49
GSEXP-000056,GSRES-000056,GSRQ-000008,KGNODE2-000024,Request for Proposal,Matched query terms in node/search text.,final = exact*0.45 + lexical*0.25 + relationship*0.15 + confidence*0.10 + domain_boost,"{""exact_score"": 0.0, ""lexical_score"": 0.75, ""relationship_score"": 0.5, ""confidence_score"": 0.743, ""domain_boost"": 0.12, ""final_score"": 0.4568}",Request for Proposal --shapes_source_selection--> Award Basis | Request for Proposal --defines_submission_context--> Solicitation Amendment | Contracting Officer --administers_acquisition--> Request for Proposal | Food and Drug Administration --uses_acquisition_method--> Request for Proposal,2026-06-29 22:06:49
GSEXP-000057,GSRES-000057,GSRQ-000008,KGNODE2-000011,Food and Drug Administration,Matched query terms in node/search text.,final = exact*0.45 + lexical*0.25 + relationship*0.15 + confidence*0.10 + domain_boost,"{""exact_score"": 0.0, ""lexical_score"": 0.5, ""relationship_score"": 0.5, ""confidence_score"": 0.92, ""domain_boost"": 0.12, ""final_score"": 0.412}",Food and Drug Administration --uses_acquisition_method--> Solicitation Number | Food and Drug Administration --uses_acquisition_method--> Request for Information | Food and Drug Administration --uses_acquisition_method--> Combined Synopsis Solicitation | Food and Drug Administration --uses_acquisition_method--> Method of Solicitation | Food and Drug Administration --uses_acquisition_method--> Request for Proposal,2026-06-29 22:06:49
GSEXP-000058,GSRES-000058,GSRQ-000008,KGNODE2-000012,Solicitation Number,Matched query terms in node/search text.,final = exact*0.45 + lexical*0.25 + relationship*0.15 + confidence*0.10 + domain_boost,"{""exact_score"": 0.0, ""lexical_score"": 0.5, ""relationship_score"": 0.5, ""confidence_score"": 0.777, ""domain_boost"": 0.12, ""final_score"": 0.3977}",Solicitation Number --shapes_source_selection--> Award Basis | Solicitation Number --defines_submission_context--> Solicitation Amendment | Contracting Officer --administers_acquisition--> Solicitation Number | Food and Drug Administration --uses_acquisition_method--> Solicitation Number,2026-06-29 22:06:49
GSEXP-000059,GSRES-000059,GSRQ-000008,KGNODE2-000020,Combined Synopsis Solicitation,Matched query terms in node/search text.,final = exact*0.45 + lexical*0.25 + relationship*0.15 + confidence*0.10 + domain_boost,"{""exact_score"": 0.0, ""lexical_score"": 0.5, ""relationship_score"": 0.5, ""confidence_score"": 0.769, ""domain_boost"": 0.12, ""final_score"": 0.3969}",Combined Synopsis Solicitation --shapes_source_selection--> Award Basis | Combined Synopsis Solicitation --defines_submission_context--> Solicitation Amendment | Contracting Officer --administers_acquisition--> Combined Synopsis Solicitation | Food and Drug Administration --uses_acquisition_method--> Combined Synopsis Solicitation,2026-06-29 22:06:49
GSEXP-000060,GSRES-000060,GSRQ-000008,KGNODE2-000017,Request for Information,Matched query terms in node/search text.,final = exact*0.45 + lexical*0.25 + relationship*0.15 + confidence*0.10 + domain_boost,"{""exact_score"": 0.0, ""lexical_score"": 0.5, ""relationship_score"": 0.5, ""confidence_score"": 0.761, ""domain_boost"": 0.12, ""final_score"": 0.3961}",Request for Information --shapes_source_selection--> Award Basis | Request for Information --defines_submission_context--> Solicitation Amendment | Contracting Officer --administers_acquisition--> Request for Information | Food and Drug Administration --uses_acquisition_method--> Request for Information,2026-06-29 22:06:49
GSEXP-000061,GSRES-000061,GSRQ-000008,KGNODE2-000023,Method of Solicitation,Matched query terms in node/search text.,final = exact*0.45 + lexical*0.25 + relationship*0.15 + confidence*0.10 + domain_boost,"{""exact_score"": 0.0, ""lexical_score"": 0.5, ""relationship_score"": 0.5, ""confidence_score"": 0.718, ""domain_boost"": 0.12, ""final_score"": 0.3918}",Method of Solicitation --shapes_source_selection--> Award Basis | Method of Solicitation --defines_submission_context--> Solicitation Amendment | Contracting Officer --administers_acquisition--> Method of Solicitation | Food and Drug Administration --uses_acquisition_method--> Method of Solicitation,2026-06-29 22:06:49
GSEXP-000062,GSRES-000062,GSRQ-000008,KGNODE2-000028,Request for Quotation,Matched query terms in node/search text.,final = exact*0.45 + lexical*0.25 + relationship*0.15 + confidence*0.10 + domain_boost,"{""exact_score"": 0.0, ""lexical_score"": 0.5, ""relationship_score"": 0.5, ""confidence_score"": 0.712, ""domain_boost"": 0.12, ""final_score"": 0.3912}",Request for Quotation --shapes_source_selection--> Award Basis | Request for Quotation --defines_submission_context--> Solicitation Amendment | Contracting Officer --administers_acquisition--> Request for Quotation | Food and Drug Administration --uses_acquisition_method--> Request for Quotation,2026-06-29 22:06:49
GSEXP-000063,GSRES-000063,GSRQ-000009,KGNODE2-000024,Request for Proposal,"Matched directly against canonical node name, node type, or strong token overlap.",final = exact*0.45 + lexical*0.25 + relationship*0.15 + confidence*0.10 + domain_boost,"{""exact_score"": 0.75, ""lexical_score"": 0.75, ""relationship_score"": 0.5, ""confidence_score"": 0.743, ""domain_boost"": 0.12, ""final_score"": 0.7943}",Request for Proposal --shapes_source_selection--> Award Basis | Request for Proposal --defines_submission_context--> Solicitation Amendment | Contracting Officer --administers_acquisition--> Request for Proposal | Food and Drug Administration --uses_acquisition_method--> Request for Proposal,2026-06-29 22:06:49
GSEXP-000064,GSRES-000064,GSRQ-000009,KGNODE2-000023,Method of Solicitation,"Matched directly against canonical node name, node type, or strong token overlap.",final = exact*0.45 + lexical*0.25 + relationship*0.15 + confidence*0.10 + domain_boost,"{""exact_score"": 0.4, ""lexical_score"": 0.5, ""relationship_score"": 0.5, ""confidence_score"": 0.718, ""domain_boost"": 0.12, ""final_score"": 0.5718}",Method of Solicitation --shapes_source_selection--> Award Basis | Method of Solicitation --defines_submission_context--> Solicitation Amendment | Contracting Officer --administers_acquisition--> Method of Solicitation | Food and Drug Administration --uses_acquisition_method--> Method of Solicitation,2026-06-29 22:06:49
GSEXP-000065,GSRES-000065,GSRQ-000009,KGNODE2-000011,Food and Drug Administration,Matched query terms in node/search text.,final = exact*0.45 + lexical*0.25 + relationship*0.15 + confidence*0.10 + domain_boost,"{""exact_score"": 0.0, ""lexical_score"": 1.0, ""relationship_score"": 1.0, ""confidence_score"": 0.92, ""domain_boost"": 0.12, ""final_score"": 0.612}",Food and Drug Administration --uses_acquisition_method--> Solicitation Number | Food and Drug Administration --uses_acquisition_method--> Request for Information | Food and Drug Administration --uses_acquisition_method--> Combined Synopsis Solicitation | Food and Drug Administration --uses_acquisition_method--> Method of Solicitation | Food and Drug Administration --uses_acquisition_method--> Request for Proposal,2026-06-29 22:06:49
GSEXP-000066,GSRES-000066,GSRQ-000009,KGNODE2-000001,Solicitation Amendment,Matched query terms in node/search text.,final = exact*0.45 + lexical*0.25 + relationship*0.15 + confidence*0.10 + domain_boost,"{""exact_score"": 0.0, ""lexical_score"": 1.0, ""relationship_score"": 1.0, ""confidence_score"": 0.902, ""domain_boost"": 0.12, ""final_score"": 0.6102}",Proposal Volume --requires_submission_instruction--> Solicitation Amendment | Contracting Officer --issues_or_receives--> Solicitation Amendment | Solicitation Number --defines_submission_context--> Solicitation Amendment | Request for Information --defines_submission_context--> Solicitation Amendment | Combined Synopsis Solicitation --defines_submission_context--> Solicitation Amendment,2026-06-29 22:06:49
GSEXP-000067,GSRES-000067,GSRQ-000009,KGNODE2-000004,Contracting Officer,Matched query terms in node/search text.,final = exact*0.45 + lexical*0.25 + relationship*0.15 + confidence*0.10 + domain_boost,"{""exact_score"": 0.0, ""lexical_score"": 1.0, ""relationship_score"": 1.0, ""confidence_score"": 0.802, ""domain_boost"": 0.12, ""final_score"": 0.6002}",Contracting Officer --issues_or_receives--> Solicitation Amendment | Contracting Officer --administers_acquisition--> Solicitation Number | Contracting Officer --administers_acquisition--> Request for Information | Contracting Officer --administers_acquisition--> Combined Synopsis Solicitation | Contracting Officer --administers_acquisition--> Method of Solicitation,2026-06-29 22:06:49
GSEXP-000068,GSRES-000068,GSRQ-000009,KGNODE2-000006,Award Basis,Matched query terms in node/search text.,final = exact*0.45 + lexical*0.25 + relationship*0.15 + confidence*0.10 + domain_boost,"{""exact_score"": 0.0, ""lexical_score"": 1.0, ""relationship_score"": 1.0, ""confidence_score"": 0.82, ""domain_boost"": 0.0, ""final_score"": 0.482}",Award Basis --uses_evaluation_factor--> Evaluation Factors | Award Basis --may_result_in_contract_type--> Firm Fixed Price | Solicitation Number --shapes_source_selection--> Award Basis | Request for Information --shapes_source_selection--> Award Basis | Combined Synopsis Solicitation --shapes_source_selection--> Award Basis,2026-06-29 22:06:49
GSEXP-000069,GSRES-000069,GSRQ-000009,KGNODE2-000017,Request for Information,Matched query terms in node/search text.,final = exact*0.45 + lexical*0.25 + relationship*0.15 + confidence*0.10 + domain_boost,"{""exact_score"": 0.0, ""lexical_score"": 0.5, ""relationship_score"": 0.5, ""confidence_score"": 0.761, ""domain_boost"": 0.12, ""final_score"": 0.3961}",Request for Information --shapes_source_selection--> Award Basis | Request for Information --defines_submission_context--> Solicitation Amendment | Contracting Officer --administers_acquisition--> Request for Information | Food and Drug Administration --uses_acquisition_method--> Request for Information,2026-06-29 22:06:49
GSEXP-000070,GSRES-000070,GSRQ-000009,KGNODE2-000028,Request for Quotation,Matched query terms in node/search text.,final = exact*0.45 + lexical*0.25 + relationship*0.15 + confidence*0.10 + domain_boost,"{""exact_score"": 0.0, ""lexical_score"": 0.5, ""relationship_score"": 0.5, ""confidence_score"": 0.712, ""domain_boost"": 0.12, ""final_score"": 0.3912}",Request for Quotation --shapes_source_selection--> Award Basis | Request for Quotation --defines_submission_context--> Solicitation Amendment | Contracting Officer --administers_acquisition--> Request for Quotation | Food and Drug Administration --uses_acquisition_method--> Request for Quotation,2026-06-29 22:06:49
GSEXP-000071,GSRES-000071,GSRQ-000009,KGNODE2-000019,Proposal Volume,Matched query terms in node/search text.,final = exact*0.45 + lexical*0.25 + relationship*0.15 + confidence*0.10 + domain_boost,"{""exact_score"": 0.0, ""lexical_score"": 0.5, ""relationship_score"": 0.25, ""confidence_score"": 0.719, ""domain_boost"": 0.12, ""final_score"": 0.3544}",Proposal Volume --requires_submission_instruction--> Solicitation Amendment,2026-06-29 22:06:49
GSEXP-000072,GSRES-000072,GSRQ-000009,KGNODE2-000012,Solicitation Number,Matched query terms in node/search text.,final = exact*0.45 + lexical*0.25 + relationship*0.15 + confidence*0.10 + domain_boost,"{""exact_score"": 0.0, ""lexical_score"": 0.25, ""relationship_score"": 0.5, ""confidence_score"": 0.777, ""domain_boost"": 0.12, ""final_score"": 0.3352}",Solicitation Number --shapes_source_selection--> Award Basis | Solicitation Number --defines_submission_context--> Solicitation Amendment | Contracting Officer --administers_acquisition--> Solicitation Number | Food and Drug Administration --uses_acquisition_method--> Solicitation Number,2026-06-29 22:06:49
GSEXP-000073,GSRES-000073,GSRQ-000010,KGNODE2-000013,Unit Price,"Matched directly against canonical node name, node type, or strong token overlap.",final = exact*0.45 + lexical*0.25 + relationship*0.15 + confidence*0.10 + domain_boost,"{""exact_score"": 0.75, ""lexical_score"": 0.5, ""relationship_score"": 0.25, ""confidence_score"": 0.79, ""domain_boost"": 0.15, ""final_score"": 0.729}",Firm Fixed Price --has_pricing_structure--> Unit Price | Place of Performance --affects_price--> Unit Price | Place of Performance --affects_pricing--> Unit Price,2026-06-29 22:06:49
GSEXP-000074,GSRES-000074,GSRQ-000010,KGNODE2-000029,Payment and Invoice,"Matched directly against canonical node name, node type, or strong token overlap.",final = exact*0.45 + lexical*0.25 + relationship*0.15 + confidence*0.10 + domain_boost,"{""exact_score"": 0.4, ""lexical_score"": 0.75, ""relationship_score"": 0.25, ""confidence_score"": 0.701, ""domain_boost"": 0.15, ""final_score"": 0.6251}",Firm Fixed Price --has_pricing_structure--> Payment and Invoice | Place of Performance --affects_price--> Payment and Invoice | Place of Performance --affects_pricing--> Payment and Invoice,2026-06-29 22:06:49
GSEXP-000075,GSRES-000075,GSRQ-000010,KGNODE2-000003,Firm Fixed Price,Matched query terms in node/search text.,final = exact*0.45 + lexical*0.25 + relationship*0.15 + confidence*0.10 + domain_boost,"{""exact_score"": 0.0, ""lexical_score"": 1.0, ""relationship_score"": 1.0, ""confidence_score"": 0.84, ""domain_boost"": 0.15, ""final_score"": 0.634}",Firm Fixed Price --has_pricing_structure--> Unit Price | Firm Fixed Price --has_pricing_structure--> Payment and Invoice | Award Basis --may_result_in_contract_type--> Firm Fixed Price,2026-06-29 22:06:49
GSEXP-000076,GSRES-000076,GSRQ-000010,KGNODE2-000022,Place of Performance,Matched query terms in node/search text.,final = exact*0.45 + lexical*0.25 + relationship*0.15 + confidence*0.10 + domain_boost,"{""exact_score"": 0.0, ""lexical_score"": 1.0, ""relationship_score"": 1.0, ""confidence_score"": 0.74, ""domain_boost"": 0.0, ""final_score"": 0.474}",Place of Performance --affects_price--> Unit Price | Place of Performance --affects_price--> Payment and Invoice | Place of Performance --affects_pricing--> Unit Price | Place of Performance --affects_pricing--> Payment and Invoice | Marine Corps Base Camp Lejeune --may_define_place_of_performance--> Place of Performance,2026-06-29 22:06:49
GSEXP-000077,GSRES-000077,GSRQ-000010,KGNODE2-000006,Award Basis,Matched query terms in node/search text.,final = exact*0.45 + lexical*0.25 + relationship*0.15 + confidence*0.10 + domain_boost,"{""exact_score"": 0.0, ""lexical_score"": 0.25, ""relationship_score"": 0.25, ""confidence_score"": 0.82, ""domain_boost"": 0.0, ""final_score"": 0.182}",Award Basis --uses_evaluation_factor--> Evaluation Factors | Award Basis --may_result_in_contract_type--> Firm Fixed Price | Solicitation Number --shapes_source_selection--> Award Basis | Request for Information --shapes_source_selection--> Award Basis | Combined Synopsis Solicitation --shapes_source_selection--> Award Basis,2026-06-29 22:06:49
